Wavelength	Pin 1	Pin 2	Pin 3	Pin 4	Pin 5	Pin 6	Pin 7	Pin 8	Pin 9	Pin 10	Pin 11	Pin 12	Pin 13	Pin 14	Pin 15	Pin 16	Pin 17	Pin 18	Pin 19	Pin 20	Pin 21	Pin 22	Pin 23	Pin 24	Pin 25	Pin 26	Pin 27	Pin 28	Pin 29	Pin 30	Pin 31	Pin 32	Pin 33	Pin 34	Pin 35	Pin 36	Pin 37	Pin 38	Pin 39	Pin 40	Pin 41	Pin 42	Pin 43	Pin 44	Pin 45	Pin 46	Pin 47	Pin 48	Pin 49	Pin 50	Pin 51	Pin 52	Pin 53	Pin 54	Pin 55	Pin 56	Pin 57	Pin 58	Pin 59	Pin 60
400.0	82.98204449936748	81.823077397421	69.76981953717768	67.27463154122233	67.50642496161163	64.83398317359388	64.42493596114218	65.42028417810798	63.30687358044088	63.211429230868816	62.9660009033978	62.63876313343644	62.611493319272995	62.911461275070906	63.1432546954602	63.5523019079119	62.9660009033978	63.3205084875226	63.211429230868816	63.252333952113986	62.70693766884506	63.034175438806415	63.1432546954602	62.5569536909461	63.115984881296754	62.81601692549884	63.26596885919571	62.66603294759989	62.652398040518165	62.50241406261921	63.211429230868816	63.211429230868816	63.634111350402236	63.5523019079119	63.56593681499362	63.593206629157066	63.70228588581085	63.86590477079153	63.64774625748396	64.23404726199806	64.47947558946908	64.57491993904114	64.46584068238735	63.96134912036359	63.675016071647406	63.634111350402236	63.34777830168605	63.77046042121947	63.42958774417639	63.52503209374845	63.756825514137745	63.9068094920367	63.53866700083017	63.838634956628084	63.94771421328187	64.27495198324323	64.34312651865184	63.85226986370981	64.00225384160876	64.00225384160876
412.5	87.66463792975992	87.35438164137304	71.73814845923334	68.69304044358432	68.89987796917558	65.44109490234405	64.93549206200987	66.39484571479261	63.67148496117443	63.55657522473484	63.234827962704	63.10842725262046	62.93606264796108	63.372719646431506	63.7634127503261	63.935777354985476	63.234827962704	63.52210230380297	63.211846015416086	63.68297593481839	63.0969362789765	63.223336989060044	63.292282830923796	62.99351751618087	63.17737309448421	63.15439114719629	63.48762938287109	62.94755362160504	62.890098753385246	62.70624317508191	63.31526477821171	63.7634127503261	64.0391961177811	63.87832248676568	63.97025027591735	64.18857877515256	64.18857877515256	64.55628993175924	64.14261488057673	64.67119966819882	65.2342573767528	64.91251011472195	64.65970869455487	64.22305169608444	64.1770878015086	64.13112390693277	63.67148496117443	64.11963293328881	63.67148496117443	64.02770514413714	64.13112390693277	64.02770514413714	64.0391961177811	64.30348851159215	64.13112390693277	64.49883506353945	64.57927187904716	63.88981346040964	64.30348851159215	64.10814195964485
442.5	91.32954080123454	92.67650990746915	67.00856591109186	62.80400814022869	63.54672942310572	58.47356540616602	58.12108750920743	60.17301240935922	56.09433960169554	55.6789192231372	55.162790874019265	55.200556362979114	55.125025385059416	55.464914785698056	55.829981178976595	56.01880862377584	55.464914785698056	55.37679531145841	55.41456080041826	55.527857267297804	54.96137493290007	55.33902982249856	55.464914785698056	55.125025385059416	55.38938380777836	55.187967866659164	55.7040962157771	55.28867583721876	54.99914042185992	54.98655192553997	55.41456080041826	55.93068914953619	56.23281306121498	56.42164050601423	56.182459075935185	56.522348476573825	56.73635291401297	56.91259186249226	56.96294584777206	57.2524812631309	57.81896359752864	57.504251189529896	57.3028352484107	56.484582987613976	56.497171483933926	56.34610952809453	55.817392682656646	56.39646351337433	56.05657411273569	56.25799005385488	56.67341043241322	56.57270246185362	56.42164050601423	56.33352103177458	56.79929539561272	56.97553434409201	57.07624231465161	56.509759980253875	56.44681749865413	56.42164050601423
490.0	94.78288807161152	97.07354101166129	56.970020135864615	52.44569567218423	55.146614810451865	47.22619792819023	46.348684115335345	50.348779547959566	44.149201441556215	43.795916659757495	43.35146161168814	42.94119541347027	42.96398798003793	43.67055754363537	43.92127577587962	44.24037170782685	43.36285789497197	43.49961329437792	43.57938727736473	43.57938727736473	42.8386288639158	43.22610249556601	43.442631877958775	43.020969396457076	43.465424444526434	43.100743379443884	43.841501792892814	42.9525916967541	42.88421399705112	42.58791063167155	43.28308391198516	43.408443028107285	44.297353124246	44.194786574691534	44.22897542454302	44.70761932246387	44.844374721869826	44.74180817231536	44.43410852365196	45.09509295411408	45.41418888606131	45.55094428546727	45.17486693710089	44.94694127142429	44.548071356490254	44.570863923057914	43.48821701109409	44.00104975886643	43.750331526622176	44.05803117528558	44.43410852365196	44.39991967380047	44.03523860871792	44.297353124246	44.59365648962557	44.82158215530217	44.94694127142429	44.43410852365196	44.35433454066515	44.26316427439451
510.0	94.69057269394398	94.83737978339195	52.91172182187438	48.984632179141045	52.422364857047796	43.35702708363533	42.50065239518881	46.77029191330075	40.3964174464345	39.96823010221124	39.35653389617801	39.19749288260937	38.96504832431674	39.87035870924592	39.96823010221124	40.5676923841238	39.73578554391861	39.28313035145402	39.94376225396991	40.041633646935225	39.23419465497136	39.41770351678133	39.63791415095329	39.2219607308507	39.57674453034997	39.47887313738465	39.96823010221124	38.53686098009348	38.67143414542079	38.32888427004218	39.34429997205734	39.381001744419336	40.16397288814187	40.604394156485796	40.812370866537094	41.20385643839836	40.88577441126108	40.83683871477842	40.21290858462453	40.80013694241643	41.14268681779504	41.11821896955371	41.03258150070906	40.604394156485796	40.5676923841238	40.66556377708912	39.833656936883926	40.00493187457323	39.79695516452193	40.335247825831175	40.84907263889909	40.69003162533045	40.3964174464345	40.05386757105589	40.3964174464345	40.787903018295765	40.72673339769244	40.24961035698652	40.335247825831175	40.26184428110719
560.0	90.7155738081783	82.91586142033339	41.73900142684579	38.62714706361294	42.84320781379938	33.79875368066132	33.15630632825196	37.13144932128489	30.807358196005225	30.164910843595862	29.73326652869582	29.65296060964465	29.41204285249114	30.76720523647964	30.25525500252843	31.71079978533089	30.49617275968194	29.432119332253933	31.399614349007607	31.650570346042514	30.315484441816807	29.673037089407444	30.54636395908892	29.964146045967937	30.937855314463377	30.837472915649414	31.891488103196025	28.669213101267815	28.699327820912004	28.08699518814683	29.542539970949292	29.33173693343997	30.947893554344773	31.760990984737873	33.07600040920079	33.216535767540336	32.01194698177278	31.058314193040133	29.934031326323748	30.22514028288424	31.449805548414588	30.937855314463377	31.048275953158736	31.218926031142473	31.49999674782157	32.15248234011233	30.38575212098658	30.395790360867977	30.00429900549352	31.71079978533089	31.88144986331463	31.540149707347155	30.777243476361036	30.154872603714466	30.757166996598244	31.379537869244814	31.08842891268432	30.586516918614507	30.747128756716847	30.967970034107566
620.0	48.84889082238078	41.75877493619919	24.250098299235106	21.79867224022746	22.54889314621687	18.34342947602272	17.952469285577536	19.569142505526543	16.71618976444006	16.43089449033141	16.525992915034294	16.536559406667948	16.356929048895836	16.557692389935255	16.589391864836216	16.74788923934102	16.304096590727568	15.976535350084305	16.31466308236122	16.45202747359872	16.36749554052949	16.473160456866026	16.462593965232372	16.378062032163143	16.473160456866026	16.45202747359872	16.578825373202562	15.955402366816998	15.67010709270835	15.765205517411232	16.187865182757378	16.187865182757378	16.652790814638138	16.89582012221217	17.32904627919197	17.350179262459278	17.487543653696775	17.371312245726585	17.223381362855434	17.52980962023139	17.593208570033312	17.69887348636985	17.466410670429468	17.24451434612274	16.959219072014093	16.695056781172752	16.356929048895836	16.5471258983016	16.578825373202562	16.59995835646987	16.906386613845825	16.938086088746786	16.91695310547948	16.790155205875635	16.86412064731121	17.12828293815255	17.286780312657356	16.91695310547948	17.001485038548708	16.737322747707367
665.0	35.8538679080084	31.19600621983409	18.93658605404198	16.818560315296054	16.899332483299077	13.982559749856591	13.479977371171117	14.449243387207389	12.474812613800168	12.214546739123762	12.196597368456423	12.12479988578707	12.196597368456423	12.34019233379513	12.304293592460454	12.394040445797145	11.981204920448363	11.828635269775987	11.945306179113686	12.079926459118724	11.990179605782032	12.070951773785055	12.106850515119731	12.079926459118724	12.187622683122754	11.999154291115701	12.1158252004534	11.747863101772964	11.505546597763896	11.56836939509958	11.873508696444333	12.061977088451385	12.34019233379513	12.56455946713686	12.869698768481612	12.833800027146935	13.12098995782435	13.067141845822334	12.88764813914895	13.237660867162049	13.273559608496726	13.524850797839463	13.22868618182838	13.01329373382032	12.636356949806213	12.385065760463476	12.106850515119731	12.331217648461461	12.376091075129807	12.367116389796138	12.546610096469522	12.591483523137867	12.537635411135852	12.501736669801176	12.483787299133837	12.762002544477582	12.88764813914895	12.645331635139883	12.717129117809236	12.438913872465491
673.75	33.62734659574926	29.51841433160007	17.9184333877638	15.747676719911397	15.960876035504043	13.179594054818153	12.714431911706924	13.538156540133059	11.551526553928852	11.328636360354722	11.541835675947368	11.444926896132529	11.338327238336205	11.5224539199844	11.541835675947368	11.561217431910336	11.183273190632463	11.057291776873171	11.173582312650979	11.29956372641027	11.183273190632463	11.318945482373238	11.386781628243625	11.367399872280657	11.386781628243625	11.096055288799107	11.289872848428786	10.93131036311388	10.853783339262009	10.911928607150912	11.096055288799107	11.231727580539882	11.61936269979924	11.735653235577047	11.93916167318821	12.036070453003049	12.297724158503115	12.288033280521631	12.21050625666976	12.520614352077246	12.549686986021698	12.695050155743957	12.43339645024389	12.16205186676234	11.89070728328079	11.532144797965884	11.377090750262141	11.532144797965884	11.503072164021432	11.638744455762208	11.696889723651111	11.725962357595563	11.784107625484467	11.725962357595563	11.687198845669627	11.997306941077113	12.045761330984533	11.958543429151177	11.774416747502983	11.687198845669627
681.25	32.6385353654623	28.37000444624573	17.244864913634956	15.195970072411	15.321779404766858	12.607892378233373	12.176546095870435	12.931402090005577	11.116153151728213	10.87352086789906	10.900480010546744	10.927439153194427	10.891493629664183	10.94541191495955	10.918452772311866	11.062234866432846	10.693793250247836	10.550011156126857	10.666834107600152	10.837575344368815	10.675820488482714	10.855548106133938	10.846561725251377	10.783657059073448	10.837575344368815	10.765684297308326	10.765684297308326	10.514065632596612	10.325351634062827	10.370283538475633	10.666834107600152	10.729738773778081	11.035275723785162	11.17007143702358	11.448649244382977	11.529526672326028	11.736213432624936	11.727227051742375	11.628376862034202	11.98783209733665	12.05972314439714	12.095668667927384	12.032764001749456	11.655336004681885	11.286894388496876	10.972371057607234	10.819602582603693	11.0262893429026	10.954398295842111	11.08919400908053	11.125139532610774	11.295880769379437	11.349799054674804	11.250948864966631	11.259935245849192	11.412703720852733	11.565472195856273	11.349799054674804	11.331826292909682	11.179057817906141
