Wavelength	Pin 1	Pin 2	Pin 3	Pin 4	Pin 5	Pin 6	Pin 7	Pin 8	Pin 9	Pin 10	Pin 11	Pin 12	Pin 13	Pin 14	Pin 15	Pin 16	Pin 17	Pin 18	Pin 19	Pin 20	Pin 21	Pin 22	Pin 23	Pin 24	Pin 25	Pin 26	Pin 27	Pin 28	Pin 29	Pin 30
400.0	94.22228125110269	94.33385292813182	94.94749715179205	95.11485466733575	95.15669404622167	95.25431926362216	94.59883566107601	94.47331752441823	94.50121044367552	94.0270308163017	94.04097727593035	93.99913789704442	93.859673300758	93.63652994669974	94.25017417035997	94.06887019518763	94.13860249333084	94.2920135492459	94.0270308163017	94.06887019518763	94.05492373555899	94.41753168590367	94.22228125110269	93.92940559890121	93.4552259715274	92.99499280378222	92.85552820749581	91.90716895274818	91.93506187200546	91.73981143720448
412.5	98.75781722087413	98.71765544079244	99.89573432318866	100.0028324034065	100.10993048362434	99.42718022223562	99.46734200231731	99.19959680177271	98.79797900095582	98.73104270081967	98.71765544079244	98.42313572019339	98.93185160122812	98.31603763997555	98.91846434120089	98.75781722087413	98.90507708117366	98.99878790136427	98.86491530109197	98.3829739401117	98.6105573605746	98.67749366071075	98.94523886125535	98.82475352101028	97.96796887926757	97.352154918015	97.00408615730703	95.81262001488358	95.7322964547202	94.94244811311364
442.5	92.10704918019474	92.33786346856505	93.75919356010854	94.37874770257622	94.41519206389785	94.24511837773025	93.50408303085715	93.15178753808141	92.7508995635435	92.31356722768396	92.82378828618675	92.54438151605427	92.3257153481245	92.04630857799202	92.86023264750838	92.72660332266241	92.72660332266241	93.21252814028412	92.72660332266241	92.5808258773759	92.9209732497111	92.70230708178133	92.9209732497111	92.56867775693536	91.76690180785954	90.23623863235116	90.02972058486193	87.98883635085076	87.90379950776696	87.0898754382506
490.0	80.84609977342188	81.67552684433758	83.7721341624856	84.47484320867807	84.4518035678193	84.24444680009037	83.00030619371682	83.08094493672252	82.29759714752436	81.38753133360296	82.18239894323051	82.00960163678974	81.64096738304943	81.20321420673281	82.89662780985236	82.66623140126467	82.72383050341159	82.9427070915699	82.43583499267697	82.10176020022482	82.30911696795374	82.43583499267697	81.82528450991958	81.64096738304943	80.66178264655173	78.39237802196294	77.82790682092309	75.15530848130584	74.78667422756553	73.58861290290952
510.0	74.97749680746347	75.5125455930829	77.72340755630285	78.35940894298255	78.51083784457296	78.14740848075598	76.85521518718451	77.12778721004725	76.51197634357959	75.23997357022017	75.97692755796015	76.0677848989144	75.63368871435523	74.56359114311635	76.59273842442781	77.09750142972916	76.74416732601821	76.86531044729054	76.34035692177713	75.87597495689988	75.96683229785413	76.45140478294343	75.57311715371907	75.78511761594564	74.66454374417663	72.2719670990482	71.43406051024795	68.37519669812173	68.38529195822775	66.97195554338396
560.0	60.595390163362026	60.311252757906914	62.250799395143986	62.85613560676575	62.868489407002926	62.22609179466963	61.17601877450943	60.99071177095175	59.990053951740265	59.792393147945404	59.52060954272747	59.81710074841976	59.71827034652233	58.655843526124954	60.928942769765854	60.74363576620817	60.86717376857996	60.805404767394066	60.101238153874874	59.71827034652233	59.96534635126591	60.21242235600948	59.22411833703518	59.28588733822107	58.59407452493906	56.3580366820097	55.59210106730461	52.454235807061195	52.367759205400944	51.218855783343315
620.0	27.4913634294644	27.280364797450602	28.238650251179934	28.141942544840276	28.124359325505793	27.913360693491995	27.245198358781636	27.297948016785085	27.139699042774737	27.684778842143714	26.87595075275749	27.034199726767838	27.15728226210922	26.71770177874714	27.05178294610232	27.025408117100596	26.99024167843163	27.04299133643508	26.82320109475404	26.93749202042818	26.88474236242473	26.76165982708335	26.55066119506955	26.7089101690799	26.401203830726445	25.952831737697124	25.733041496016085	24.906630187295377	24.678048335947096	24.352758778259158
665.0	19.783485552296042	19.502993067726493	20.151631938293576	20.090274207293987	20.0201510861516	19.836077893152833	19.29262370429933	19.380277605727315	19.24003136344254	19.932497184723616	19.17867363244295	19.24003136344254	19.424104556441307	19.143612071871758	19.266327533870935	19.371512215584517	19.30138909444213	19.038427390158176	19.108550511300564	19.222500583156943	19.08225434087217	19.06472356058657	18.96830426901579	18.933242708444595	18.74916951544583	18.62645405344665	18.328430788591504	17.828803550451994	17.67979191802442	17.416830213740468
673.75	18.459492537193	18.497533737681806	19.030110544525087	18.935007543303072	18.763822141103446	18.697250040248036	18.079080532304943	18.20271443389356	18.079080532304943	18.72578094061464	18.155162933282554	18.19320413377136	18.288307134993374	18.088590832427144	18.174183533526957	18.098101132549345	18.155162933282554	18.098101132549345	18.041039331816137	17.898384829983115	17.898384829983115	17.888874529860914	17.841323029249907	17.72719942778349	17.689158227294683	17.508462524972856	17.384828623384237	16.67155611421913	16.652535513974726	16.376736810430884
681.25	17.586615627631545	17.486076488159597	17.988772185519338	17.91143438592553	17.803161466494203	17.66395342722535	17.091653710231185	17.14579016994685	17.238595529459417	17.710356106981635	17.02978347055614	17.130322610028088	17.246329309418797	17.130322610028088	17.15352394990623	17.060718590393662	17.192192849703133	17.184459069743752	17.099387490190566	17.083919930271804	16.944711891002953	17.006582130677998	16.836438971571624	16.77456873189658	16.68176337238401	16.465217533521354	16.31054193433374	15.831047576852143	15.761443557217717	15.521696378476918
