Wavelength	Pin 1	Pin 2	Pin 3	Pin 4	Pin 5	Pin 6	Pin 7	Pin 8	Pin 9	Pin 10	Pin 11	Pin 12	Pin 13	Pin 14	Pin 15	Pin 16	Pin 17	Pin 18	Pin 19	Pin 20	Pin 21	Pin 22	Pin 23	Pin 24	Pin 25	Pin 26	Pin 27	Pin 28	Pin 29	Pin 30	Pin 31	Pin 32	Pin 33	Pin 34	Pin 35	Pin 36	Pin 37	Pin 38	Pin 39	Pin 40	Pin 41	Pin 42	Pin 43	Pin 44	Pin 45	Pin 46	Pin 47	Pin 48	Pin 49	Pin 50	Pin 51	Pin 52	Pin 53	Pin 54	Pin 55	Pin 56	Pin 57	Pin 58	Pin 59	Pin 60
400.0	84.04556725174189	84.14101160131395	85.12272491119802	85.95445424318314	86.39077126979828	86.85435811057687	87.67245253548026	88.55872149579227	87.87697614170611	88.65416584536433	87.50883365049958	87.76789688505232	87.60427800007164	87.87697614170611	87.7542619779706	87.60427800007164	88.17694409750402	87.931515770033	87.99969030544162	88.1087695620954	88.21784881874919	88.44964223913848	88.61326112411916	89.15865740738809	88.91322907991707	88.73597528785467	88.59962621703744	89.17229231446981	88.91322907991707	88.79051491618156	88.12240446917713	88.47691205330193	88.13603937625885	87.45429402217269	87.76789688505232	87.97242049127817	87.90424595586956	87.3452147655189	88.09513465501368	88.6950705666095	88.77688000909984	89.48589517734945	88.83141963742673	88.77688000909984	88.17694409750402	88.12240446917713	88.04059502668679	89.6904187835753	87.50883365049958	87.69972234964371	88.2860233541578	88.77688000909984	88.73597528785467	88.50418186746538	88.73597528785467	88.20421391166747	88.65416584536433	88.81778473034501	88.98140361532569	88.02696011960506
412.5	87.5037642987445	87.68761987704784	88.68733458407223	89.7789770802483	89.95134168490767	90.64080010354519	91.75542454700917	92.70917535945773	92.18059057183564	92.16909959819168	91.49113215319812	91.47964117955416	91.53709604777396	91.54858702141792	91.82437038887292	91.45665923226625	91.92778915166855	92.14611765090376	92.15760862454772	91.92778915166855	92.22655446641147	92.55979270208627	92.34146420285106	93.42161572538316	92.96197677962482	92.42190101835877	92.8011031486094	93.14583235792816	92.61724757030606	92.70917535945773	92.1346266772598	92.1920815454796	92.1920815454796	91.15789391752332	91.70946065243334	91.56007799506187	91.44516825862229	91.34174949582666	91.89331623073667	92.45637393929064	93.05390456877649	93.31819696258754	93.12285041064024	92.65172049123794	92.18059057183564	91.9967349935323	91.59455091599375	93.58248935639858	91.3877133904025	91.50262312684208	92.24953641369939	92.85855801682919	92.88153996411711	92.53681075479835	92.76663022767752	92.08866278268397	92.51382880751044	92.76663022767752	92.91601288504899	91.84735233616084
442.5	83.46173060126603	83.76385451294482	84.88423068542033	86.02978385053575	85.966841368936	87.01168656349182	88.18241672124714	89.13914244156331	88.16982822492719	88.50971762556583	87.02427505981177	87.40192994941026	87.8425273206085	87.60334589052945	87.9432352911681	87.33898746781051	87.8425273206085	87.8173503279686	88.37124416604638	87.90546980220824	88.20759371388704	88.43418664764613	88.18241672124714	89.81892124284059	89.466443345882	88.72372206300497	89.50420883484185	89.83150973916054	88.37124416604638	88.89996101148427	87.30122197885066	87.7418193500489	87.8928813058883	86.87321310397238	88.10688574332744	88.11947423964739	87.716642357409	87.23827949725091	87.93064679484814	88.95031499676406	89.00066898204386	89.2650274047628	88.95031499676406	88.86219552252442	87.95582378748804	87.7669963426888	87.01168656349182	89.5923283090815	86.57108919229358	87.32639897149056	88.40900965500623	89.32796988636255	89.02584597468376	88.58524860348552	88.32089018076658	87.99358927644789	88.16982822492719	88.22018221020699	88.58524860348552	87.5404034089297
490.0	76.26392773538828	76.5032496843487	77.58589659631252	79.02182829007506	78.41782527603209	79.06741342321038	80.84523361548781	81.96206937730312	80.59451538324356	81.23270724713802	79.5346610378474	80.11587148532271	80.4919488336891	80.71987449936569	80.84523361548781	80.28681573458016	80.97059273160994	80.48055255040526	81.09595184773207	80.7996484823525	80.83383733220398	81.20991468057036	81.1871221140027	83.03332000598311	82.53188354149461	81.69995486177504	82.66863894090056	83.1814716886729	80.65149679966271	81.23270724713802	79.67141643725336	80.2640231680125	80.52613768354058	79.80817183665931	81.65436972863972	80.74266706593335	80.4577599838376	80.16145661845803	80.54893025010824	81.51761432923377	82.49769469164312	82.6458463743329	81.80252141132951	81.46063291281462	80.83383733220398	80.70847821608186	79.60303873755038	82.50909097492695	78.5773732420057	80.11587148532271	81.59738831222057	82.5660723913461	82.06463592685759	81.68855857849121	81.24410353042185	80.50334511697292	80.35519343428314	80.66289308294654	81.47202919609845	80.00190865248442
510.0	71.05463129281998	71.22590623050928	72.44929864257574	73.33014117926359	72.81631636619568	72.914187759161	74.73704245314002	75.80139385163784	74.54129966720939	75.49554574862123	73.31790725514293	74.14981409534812	74.27215333655477	74.92055131494999	75.32427081093192	74.49236397072673	75.32427081093192	74.81044599786401	75.11629410088062	74.65140498429537	75.29980296269059	75.2631011903286	75.15299587324262	77.0614880360663	76.82904347777367	76.0216044858098	76.67000246420503	76.87797917425632	75.0184227079153	75.75245815515518	74.4678961224854	74.99395485967398	75.32427081093192	74.56576751545072	75.53224752098322	75.39767435565591	75.07959232851863	73.99077308177948	74.89608346670866	75.63011891394854	76.32745258882642	76.49872752651572	75.54448144510388	75.94820094108582	75.07959232851863	74.847147770226	74.32108903303742	77.22052904963493	73.61152143403888	74.6391710601747	75.88703132048249	76.93914879485965	76.6455346159637	75.89926524460316	75.33650473505259	74.85938169434667	75.32427081093192	75.27533511444926	76.14394372701645	74.72480852901936
560.0	53.92542464286089	53.59416272677481	53.44358912855387	54.507642555981874	54.59798671491444	54.347030717879534	54.94932511076331	55.17016638815403	54.698369113728404	55.11997518874705	53.453627368435264	54.206495359539986	53.73469808511436	54.46748959645629	55.27054878696799	54.67829263396561	55.08986046910286	55.27054878696799	54.638139674440026	54.096074720844626	55.290625266730785	55.19024286791682	55.07982222922146	56.36471693404019	56.27437277510762	55.46127534471452	56.19406685605645	56.967011326923966	56.00334029830992	56.324563974514604	55.722269581630826	56.35467869415879	56.73613180965185	55.35085470601916	55.11997518874705	55.54158126376569	56.103722697123885	54.26672479882836	54.638139674440026	54.26672479882836	55.210319347679615	55.63192542269826	55.210319347679615	55.66204014234245	54.939286870881915	54.59798671491444	55.47131358459592	58.56309146806598	55.130013428628445	55.98326381854713	55.89291965961456	56.8766671679914	56.24425805546343	55.34081646613777	56.08364621736109	56.404869893565774	56.43498461320996	56.38479341380298	57.55926747992635	56.214143335819244
620.0	26.00413591042161	25.909037485718727	25.898470994085073	26.58529295027256	27.33551385626197	28.09630125388503	28.106867745518684	28.03290230408311	27.94837037101388	27.303814381361008	27.884971421211958	27.324947364628315	27.293247889727354	27.420045789331198	27.462311755865812	27.092484548687935	27.208715956658125	26.891721207648516	27.56797667220235	27.303814381361008	27.388346314430237	27.504577722400427	27.293247889727354	27.74760702997446	27.927237387746572	27.51514421403408	27.990636337548494	28.0117693208158	27.346080347895622	27.51514421403408	26.23659872636199	26.141500301659107	26.26829820126295	27.01851910725236	27.356646839529276	27.272114906460047	27.356646839529276	27.48344473913312	27.356646839529276	27.113617531955242	27.16644999012351	27.377779822796583	26.955120157450438	26.511327508836985	25.866771519184113	25.80337256938219	25.866771519184113	26.35283013433218	26.15206679329276	26.743790324777365	27.113617531955242	27.272114906460047	27.187582973390818	26.775489799678326	26.532460492104292	26.52189400047064	26.490194525569677	26.43736206740141	26.46906154230237	26.395096100866795
665.0	18.83786451537162	18.667345494031906	18.900687312707305	19.555839342065156	20.255864798091352	20.758447176776826	20.973839624784887	21.04563710745424	20.893067456781864	20.29176353942603	20.71357375010848	20.354586336761713	20.48023193143308	20.462282560765743	20.37253570742905	20.219966056756675	20.103295147418976	20.04047235008329	20.336636966094375	20.300738224759698	20.408434448763728	20.525105358101428	20.363561022095382	20.677675008773804	20.794345918111503	20.578953470103443	20.758447176776826	20.964864939451218	20.569978784769773	20.453307875432074	19.376345635391772	19.367370950058103	19.51096591539681	19.923801440745592	20.309712910093367	20.318687595427036	20.659725638106465	20.408434448763728	20.345611651428044	20.013548294082284	20.04944703541696	20.255864798091352	19.914826755411923	19.475067174062133	18.999408851377666	18.85581388603896	18.909661998040974	19.546864656731486	19.27762409672141	19.84302927274257	20.004573608748615	20.246890112757683	20.184067315422	19.905852070078254	19.6007127687335	19.50199123006314	19.591738083399832	19.60968745406717	19.672510251402855	19.51096591539681
673.75	17.840906363911927	17.637397926300764	17.763379340060055	18.402977286837995	19.00381172169	19.730627570301294	19.69186405837536	19.662791424430907	19.62402791250497	19.03288435563445	19.565882644616067	19.158865769393742	19.236392793245614	19.313919817097485	19.265465427190065	18.85844855196774	18.868139429949224	18.82937591802329	19.071647867560387	19.091029623523355	19.236392793245614	19.342992451041937	19.168556647375226	19.556191766634583	19.67248230241239	19.35268332902342	19.517428254708648	19.711245814338326	19.27515630517155	19.40113771893084	18.402977286837995	18.054105679504573	18.335141140967607	18.877830307930708	19.158865769393742	19.158865769393742	19.294538061134517	19.265465427190065	19.27515630517155	18.90690294187516	18.90690294187516	19.03288435563445	18.68401274830103	18.354522896930575	17.80214285198599	17.928124265745282	17.879669875837862	18.335141140967607	18.306068507023156	18.645249236375093	18.90690294187516	19.042575233615935	18.945666453801095	18.61617660243064	18.499886066652834	18.451431676745415	18.470813432708383	18.480504310689867	18.286686751060188	18.402977286837995
681.25	16.885409678332508	16.75061396509409	16.930341582745314	17.469524435698986	18.215394048951566	18.745590521022677	18.817481568083167	18.871399853378534	18.77254966367036	18.1614757636562	18.673699473962188	18.143503001891077	18.31424423865974	18.368162523955107	18.24235319159925	18.1614757636562	17.86492519453168	17.900870718061924	18.269312334246933	18.25133957248181	18.296271476894617	18.332217000424862	18.206407668069005	18.502958237193525	18.61079480778426	18.332217000424862	18.583835665136576	18.84444071073085	18.287285096012056	18.278298715129495	17.397633388638496	17.19993300922215	17.406619769521058	17.900870718061924	18.188434906303883	18.206407668069005	18.53890376072377	18.296271476894617	18.080598335713148	18.00870728865266	17.981748146004975	18.116543859243393	17.676211195997894	17.406619769521058	16.939327963627875	16.768586726859212	16.89439605921507	17.541415482759476	17.397633388638496	17.676211195997894	17.963775384239852	18.08958471659571	18.071611954830587	17.613306529819965	17.7211431004107	17.514456340111792	17.325742341578007	17.523442720994353	17.42459253128618	17.478510816581547
