Wavelength	Pin 11	Pin 12	Pin 13	Pin 14	Pin 15	Pin 16	Pin 17	Pin 18	Pin 19	Pin 20	Pin 21	Pin 22	Pin 24	Pin 25	Pin 26	Pin 27	Pin 28	Pin 29	Pin 30	Pin 31	Pin 32	Pin 33	Pin 34	Pin 35	Pin 36	Pin 37	Pin 38	Pin 39	Pin 40	Pin 41	Pin 42	Pin 43	Pin 44	Pin 45	Pin 46	Pin 47	Pin 48	Pin 49	Pin 50	Pin 51	Pin 52	Pin 53	Pin 54	Pin 55	Pin 56	Pin 57	Pin 58	Pin 59	Pin 60
400.0	92.52647945657372	92.29468603618443	90.82211607135832	93.22185971774161	95.78522224910557	94.8035089392215	93.6309069301933	90.87665569968522	93.84906544350088	92.3355907574296	92.17197187244892	93.20822481065989	92.43103510700166	92.24014640785754	91.9265435449779	91.8038293812424	92.18560677953064	89.00867342948914	88.5178167745471	94.2172079347074	94.02631923556328	93.0446059256792	92.52647945657372	93.46728804521263	93.0446059256792	92.44467001408339	91.32660763338208	89.458625363186	91.5720359608531	92.29468603618443	92.512844549492	91.9265435449779	92.09016242995858	92.94916157610714	93.08551064692438	83.09112375602126	75.42830597609282	91.40841707587242	93.03097101859748	95.3352703154087	93.53546258062124	92.70373324863613	93.22185971774161	88.21784881874919	71.22875459492207	81.15496695041656	86.03626368567348	79.30061958730221	73.81938694044948
412.5	101.44231532886624	101.47678824979812	99.52332273032516	102.18922861572355	105.63652070891112	105.17688176315278	103.6715642157942	99.52332273032516	103.71752811037004	101.55722506530583	101.18951390869915	103.02806969173253	101.69511674903333	101.77555356454104	101.15504098776728	100.39663672726601	101.2584597505629	97.53538428992033	97.12170923873782	104.46444139722735	103.62560032121837	102.37308419402689	101.91344524826854	103.23490721732378	102.89017800800502	101.32740559242666	100.60347425285727	97.99502323567867	100.53452841099352	101.37336948700249	101.70660772267729	100.85627567302436	100.59198327921331	101.94791816920042	102.09730082657188	89.57213955465704	80.34488771855831	100.28172699082643	102.49948490411043	105.49862902518362	103.1199974808842	102.44203003589064	102.57992171961814	96.30585011001676	75.08202178962529	87.51525527238846	93.61696227733046	85.26302443817258	78.43738609366119
442.5	111.57184288371354	111.39560393523425	108.92825865652412	112.44044912979007	117.50102465040982	117.41290517617017	114.7567324526608	109.4821524946019	114.11471914034337	111.458546416834	110.75359062291682	113.17058191634715	111.32007295731455	110.90465257875621	110.90465257875621	109.77168790996075	110.75359062291682	106.12102397717535	105.78113457653672	116.09111306257546	114.76932094898075	112.35232965555042	113.38458635378629	114.8574404232204	113.87553771026433	111.88655529171228	110.21228528115898	106.76303728949279	110.02345783635974	110.91724107507616	110.79135611187667	109.92274986580014	109.40662151668221	111.26971897203475	111.87396679539233	93.85982856154442	79.94954012800008	109.7339224210009	113.38458635378629	116.72053787857294	113.53564830962569	112.8810465009883	113.14540492370725	103.71662118006498	72.723743240349	90.64976199995726	99.5120634092018	87.8173503279686	77.35630988609046
490.0	122.84053751640022	122.3732899017632	119.11395288258791	123.44454053044319	129.815062886104	130.19114023447037	127.37625826336443	119.8775038626045	125.60983435437083	121.9516274202615	121.67811662144959	124.39043204300106	122.39608246833086	121.76928688772023	121.40460582263768	119.7635410297662	121.56415378861129	116.4244300276041	114.99989461712539	128.98313420638442	126.61270728334785	123.27359628118575	124.7551131080836	127.1711251642555	126.07708196900785	124.10552496090531	122.22513821907341	117.0398293249309	121.57555007189512	121.63253148831427	122.05419396981597	120.34475147724152	119.25070828199387	122.46446016803384	123.51291823014617	98.21316934004426	78.03035164438188	119.90029642917216	124.83488709107041	128.00305384397507	126.03149683587253	124.88047222420573	124.59556514210999	111.69497246481478	66.85059774294496	94.19028134085238	106.0993973724544	90.44090414047241	73.97327479533851
510.0	119.48873688653111	119.53767258301377	116.0020685121417	121.33605942875147	127.33068224787712	126.54771110415459	123.62380323931575	116.09993990510702	122.7062589302659	118.66906397044659	118.39991763979197	121.1525505669415	118.99937992170453	118.5589586533606	117.51907510310411	116.07547205686569	118.24087662622333	112.02604317292571	111.20637025684118	125.01847058907151	123.30572121217847	120.44298296794295	120.32064372673631	123.3301890604198	122.84083209559321	122.40041082724929	119.89245638251305	114.10581027343869	119.0116138458252	119.52543865889311	120.02702954784036	118.70576574280858	117.87385890260339	120.78553284332156	121.76424677297473	96.56236308440566	74.95725308731198	117.47013940662146	121.99669133126736	124.84719565138221	123.59933539107442	122.7429607026279	122.59615361317992	109.40798341110349	63.57970365509391	92.87995192408562	104.94260110706091	88.61031240597367	70.67537964507937
560.0	101.73756119795144	100.72369896993041	98.14387132041156	105.05018035881221	110.60132701322436	108.39291423931718	104.68880372308195	96.63813533820212	105.58220707252622	100.83411960862577	100.08125161752105	103.7351709343493	101.86805831640959	100.37236057408154	99.18784826807678	97.88287708349526	100.37236057408154	92.3417686689645	92.51241874694824	107.28870785236359	106.06404258683324	104.74903316237032	102.13909079320729	106.06404258683324	106.86710177734494	107.2385166529566	104.8092626016587	99.3785748258233	104.12666228972375	105.17063923738897	105.44167171418667	104.63861252367496	103.78536213375628	106.30496034398675	107.27866961248219	85.3250389918685	63.391484851017594	102.81165286526084	105.65247475169599	108.31260832026601	108.09176704287529	107.14817249402404	107.28870785236359	96.4273323006928	52.08842674456537	81.75142559409142	92.95410130172968	77.7260914016515	59.325997699052095
620.0	48.88059029728174	48.41566466540098	46.37633178010583	49.65194418653846	52.695093777030706	48.394531682133675	45.87970667332411	41.32554877921939	48.09866991639137	47.179385144263506	46.999754786491394	48.92285626381636	47.44354743510485	46.87295688688755	45.89027316495776	44.157368537038565	43.808674313127995	39.719442050904036	40.4802294485271	47.55977884307504	46.82012442871928	46.2917998470366	44.8336240015924	46.46086371317506	47.1582521609962	49.86327401921153	49.440614353865385	47.83450762555003	47.30618304386735	47.39071497693658	47.90847306698561	47.08428671956062	46.534829154610634	47.78167516738176	47.644310776144266	36.88762229308486	28.719724260270596	45.22458419203758	46.830690920352936	49.873840510845184	48.23603430762887	48.41566466540098	47.54921235144138	42.86825655773282	25.116550613194704	35.95777102932334	41.198750879615545	34.119201485067606	27.39891280606389
665.0	38.46550134010613	37.81932399608195	35.79104511067271	37.79239994008094	40.09889407083392	35.36923489999026	33.25120916124433	29.948524958454072	35.746171684004366	35.95258944667876	36.437222454696894	38.178311409428716	36.643640217371285	36.32952623069286	35.0371715426445	32.85632300656289	32.03962664119899	28.683094326406717	29.257474187761545	34.211500491946936	33.83456370793283	33.6101965745911	32.452462166547775	33.71789279859513	34.20252580661327	36.4641465106979	36.29362748935819	35.539753921329975	34.18457643594593	33.95123461727053	34.59741196129471	33.93328524660319	33.58327251859009	34.49869042262435	34.41791825462133	26.68173949699849	21.422573891468346	32.676829299889505	34.30124734528363	37.209045393392444	35.16281713731587	35.099994339980185	34.319196715950966	31.18703153450042	19.223775984719396	26.170182432979345	29.715183139778674	24.841929003596306	20.82126997411251
673.75	37.02884476725012	36.176047504879534	34.334780688397586	36.10821135900915	38.24020451493561	33.763018887490034	31.43720817193389	28.28767282795161	34.27663542050868	34.451071224175394	34.79025195352733	36.66059140395373	35.32325024250895	34.79025195352733	33.62734659574926	31.359681148082018	30.371211593970656	26.998786056414247	27.783747172914445	32.55165913980454	32.13495138660073	31.912061193026602	30.865446371026337	31.960515582934022	32.338459824211895	34.528598248027265	34.451071224175394	33.9665273251012	32.37722333613783	32.164024020545185	32.72609494347125	31.941133826971054	31.93144294898957	32.59042265173048	32.512895627878606	25.293191531673074	20.321771127171814	30.962355150841177	32.27062367834151	35.51706780213863	33.152493574656546	33.30754762236029	32.483822993934155	29.528105209581554	18.422359042800963	24.857102022506297	28.1132370242849	23.519760861061513	19.701554936356843
681.25	35.42431343905628	34.885130586102605	32.89914041105658	34.52567535080016	36.61950209643692	31.910638513974845	29.92464833892882	26.86927883885801	32.77333107870072	32.98001783899963	33.45629602577537	34.97499439492822	33.779805737547576	33.30352755077183	32.153270797804	29.93363471981138	28.765405205078423	25.54828084912151	26.43793255649507	30.6705179521814	30.490790334530175	30.31106271687895	29.232697010971606	30.436872049234807	30.805313665419817	32.81826298311353	32.69245365075767	32.11732527427375	30.643558809533715	30.409912906587124	31.074905091896653	30.38295376393944	30.203226146288216	31.110850615426898	30.733422618359327	23.9756641946733	19.410582706332207	29.448370152153075	30.8322728080675	33.851696784608066	31.470305850729346	31.65901984926313	30.715449856594205	28.037508353590965	17.514456340111792	23.562290674075484	26.80637417268008	22.3311564931646	18.781536044552922
