Wavelength	Pin 1	Pin 2	Pin 3	Pin 4	Pin 5	Pin 6	Pin 7	Pin 8	Pin 9	Pin 10	Pin 11	Pin 12	Pin 13	Pin 14	Pin 15	Pin 16	Pin 17	Pin 18	Pin 19	Pin 20	Pin 21	Pin 22	Pin 23	Pin 24	Pin 25	Pin 26	Pin 27	Pin 28	Pin 29	Pin 30
400.0	6.349979666993022E-4	7.997932261787355E-4	7.126705022528768E-4	0.0012029753997921944	0.0010206024162471294	0.0011144885793328285	0.0013552361633628607	0.001281811622902751	7.876228773966432E-4	8.199556614272296E-4	0.001342577626928687	0.0011505872244015336	0.0014260188909247518	0.001622803509235382	5.741150234825909E-4	7.675672532059252E-4	6.443741731345654E-4	9.629239211790264E-4	6.444186437875032E-4	0.0010149891022592783	0.001094862469471991	9.712593746371567E-4	0.0012112997937947512	8.611454395577312E-4	6.053454708307981E-4	6.194607703946531E-4	7.530329748988152E-4	0.0012189657427370548	7.017025491222739E-4	9.807371534407139E-4
412.0	0.056016553193330765	0.051757559180259705	0.05400878190994263	0.05444640293717384	0.05855761095881462	0.0574621818959713	0.05783999711275101	0.05566076189279556	0.0582108236849308	0.058519911020994186	0.04815012589097023	0.053611647337675095	0.049354903399944305	0.04421987012028694	0.05510769411921501	0.055956438183784485	0.05999438464641571	0.06043505668640137	0.05700669810175896	0.06324349343776703	0.06097640469670296	0.05729970708489418	0.05213291570544243	0.057845231145620346	0.05467728525400162	0.05218324437737465	0.05083736404776573	0.04819285124540329	0.0487416610121727	0.04705280810594559
443.0	0.053644053637981415	0.05233249440789223	0.05252992734313011	0.0545954592525959	0.057290807366371155	0.0571892075240612	0.057408176362514496	0.05511554703116417	0.05680142343044281	0.05589720979332924	0.04790670424699783	0.053620345890522	0.049749165773391724	0.04472793638706207	0.055006783455610275	0.054787132889032364	0.058170732110738754	0.05900096520781517	0.05628287419676781	0.06131916493177414	0.06055329367518425	0.05596543475985527	0.05368872359395027	0.05768531933426857	0.053851138800382614	0.05079079419374466	0.05011286586523056	0.047731779515743256	0.04836530238389969	0.04583689197897911
490.0	0.055062055587768555	0.05453402176499367	0.05477733165025711	0.05963541194796562	0.0600954070687294	0.06223655864596367	0.06103368103504181	0.059942930936813354	0.058354392647743225	0.057164452970027924	0.05487290769815445	0.05772900953888893	0.055179521441459656	0.053884346038103104	0.059330087155103683	0.05958321690559387	0.06018755957484245	0.06201620399951935	0.058217912912368774	0.0644833892583847	0.0622074268758297	0.060141127556562424	0.05919787660241127	0.059328943490982056	0.05563446506857872	0.05348247289657593	0.05294937640428543	0.05229996144771576	0.051319774240255356	0.04981384426355362
510.0	0.06797989457845688	0.06735489517450333	0.06853608787059784	0.07543301582336426	0.07460236549377441	0.07848643511533737	0.07806796580553055	0.07621937990188599	0.07288853079080582	0.07046520709991455	0.07078652828931808	0.07261145859956741	0.07148049771785736	0.07110479474067688	0.07418087124824524	0.07505665719509125	0.07444808632135391	0.07730112969875336	0.07164385169744492	0.07985593378543854	0.07844390720129013	0.07567904889583588	0.07627501338720322	0.07563550025224686	0.06969743221998215	0.06783391535282135	0.06694317609071732	0.06681089103221893	0.06470806896686554	0.06277567893266678
560.0	0.07207431644201279	0.0716128945350647	0.0723845362663269	0.07916514575481415	0.07797601819038391	0.08224126696586609	0.08144740015268326	0.08034969121217728	0.07705715298652649	0.07401618361473083	0.0735965296626091	0.07567249238491058	0.07432030141353607	0.07446132600307465	0.07707590609788895	0.07789867371320724	0.07705666869878769	0.08053642511367798	0.07516880333423615	0.08321687579154968	0.08132992684841156	0.07937344908714294	0.07996726781129837	0.07898513972759247	0.07324842363595963	0.07092180103063583	0.07061745971441269	0.07020639628171921	0.06916119903326035	0.06668072193861008
620.0	0.07836659997701645	0.0777747705578804	0.07809664309024811	0.08400489389896393	0.08342791348695755	0.08598965406417847	0.08624951541423798	0.0848417580127716	0.08080115169286728	0.07675676792860031	0.07673638314008713	0.07702349126338959	0.07726322114467621	0.07851894944906235	0.0800580233335495	0.08004492521286011	0.0785839706659317	0.0834108218550682	0.07697465270757675	0.08493122458457947	0.08367612212896347	0.0825686827301979	0.08404716104269028	0.08261136710643768	0.0767986923456192	0.07436536997556686	0.07496995478868484	0.07288897782564163	0.07224471122026443	0.06905607879161835
665.0	0.02088056690990925	0.0211503729224205	0.021717173978686333	0.023503556847572327	0.022456934675574303	0.024140264838933945	0.024529211223125458	0.02403309941291809	0.021406913176178932	0.020170029252767563	0.021848885342478752	0.021567819640040398	0.022134125232696533	0.02308346889913082	0.022074490785598755	0.021798254922032356	0.020961539819836617	0.022681288421154022	0.020832570269703865	0.023413950577378273	0.023256871849298477	0.023142293095588684	0.024138180539011955	0.02328367345035076	0.021467987447977066	0.02073029987514019	0.02087261900305748	0.021169783547520638	0.02044612541794777	0.019290650263428688
674.0	0.01146048866212368	0.011421741917729378	0.01194536592811346	0.013638120144605637	0.012774872593581676	0.013861744664609432	0.014553889632225037	0.014602364040911198	0.012730461545288563	0.011559330858290195	0.012673180550336838	0.012098114937543869	0.012970653362572193	0.013902128674089909	0.011886700056493282	0.012586765922605991	0.011646459810435772	0.01251986250281334	0.011552464216947556	0.012487112544476986	0.012863624840974808	0.013181297108530998	0.01414521224796772	0.013464119285345078	0.011809387244284153	0.012043390423059464	0.011930066160857677	0.011651797220110893	0.011398740112781525	0.010191571898758411
681.0	0.012525087222456932	0.012455245479941368	0.0126546835526824	0.01373051293194294	0.013694658875465393	0.014988393522799015	0.015425071120262146	0.015037795528769493	0.01397098507732153	0.012970946729183197	0.01388370431959629	0.013198817148804665	0.01381487026810646	0.01443469524383545	0.013227732852101326	0.0132925845682621	0.012248045764863491	0.013492930680513382	0.01230797078460455	0.01383950188755989	0.014167671091854572	0.013789273798465729	0.014398392289876938	0.014261582866311073	0.012488234788179398	0.012180357240140438	0.012641160748898983	0.01211378164589405	0.012498837895691395	0.010708888061344624
