Wavelength	Pin 11	Pin 12	Pin 13	Pin 14	Pin 15	Pin 16	Pin 17	Pin 18	Pin 19	Pin 20	Pin 21	Pin 22	Pin 24	Pin 25	Pin 26	Pin 27	Pin 28	Pin 29	Pin 30	Pin 31	Pin 32	Pin 33	Pin 34	Pin 35	Pin 36	Pin 37	Pin 38	Pin 39	Pin 40	Pin 41	Pin 42	Pin 43	Pin 44	Pin 45	Pin 46	Pin 47	Pin 48	Pin 49	Pin 50	Pin 51	Pin 52	Pin 53	Pin 54	Pin 55	Pin 56	Pin 57	Pin 58	Pin 59	Pin 60
400.0	0.012286847457289696	0.012407304719090462	0.012469532899558544	0.011176381260156631	0.010321657173335552	0.009537968784570694	0.010088740848004818	0.011226315051317215	0.010761410929262638	0.011935479938983917	0.012341158464550972	0.012120328843593597	0.011944524943828583	0.012230540625751019	0.012078387662768364	0.011975221335887909	0.011031915433704853	0.01191979181021452	0.012020220048725605	0.00948370061814785	0.009637116454541683	0.00999857671558857	0.010196253657341003	0.009558109566569328	0.009329493157565594	0.009279032237827778	0.00964380707591772	0.010806885547935963	0.008753184229135513	0.008020360954105854	0.009283719584345818	0.009733259677886963	0.009836332872509956	0.009362826123833656	0.009239246137440205	0.013136673718690872	6.898101419210434E-4	0.01019318588078022	0.009720563888549805	0.009818047285079956	0.008907610550522804	0.009183657355606556	0.009127472527325153	0.011056766845285892	1.4953239769965876E-5	0.013458370231091976	0.011453947983682156	0.014118840917944908	3.8944982225075364E-4
412.0	0.10035910457372665	0.09954164922237396	0.10078562051057816	0.10427948087453842	0.09944130480289459	0.09145041555166245	0.09142324328422546	0.09193345159292221	0.10007284581661224	0.09698078036308289	0.1003764346241951	0.0983538031578064	0.0989580899477005	0.09965748339891434	0.09550823271274567	0.10065122693777084	0.09876710176467896	0.0925600603222847	0.0948529988527298	0.09097054600715637	0.0937734842300415	0.09905736893415451	0.085342638194561	0.08826541900634766	0.09208784252405167	0.09916485100984573	0.09927880764007568	0.10126291215419769	-0.043053578585386276	-0.04166937246918678	0.09979373961687088	0.09911485016345978	0.10668181627988815	0.10089562088251114	0.1031733900308609	0.1049865260720253	0.05027211457490921	0.09524288773536682	0.09065825492143631	0.08930463343858719	0.09371258318424225	0.0943254679441452	0.0942549780011177	0.0991486981511116	0.03329816833138466	0.10751939564943314	0.10693167895078659	0.10672110319137573	0.04173647239804268
443.0	0.18340420722961426	0.18379056453704834	0.18465372920036316	0.184208944439888	0.17970897257328033	0.1744476854801178	0.174900084733963	0.1763029396533966	0.18274401128292084	0.18115215003490448	0.184162899851799	0.18332652747631073	0.1826893538236618	0.184739351272583	0.18082240223884583	0.18358339369297028	0.1812261939048767	0.17808833718299866	0.18034565448760986	0.173371821641922	0.1751985102891922	0.18069791793823242	0.1708420068025589	0.17226442694664001	0.17456762492656708	0.1767691820859909	0.1793559491634369	0.1829695850610733	0.05000679939985275	0.05090782418847084	0.17915624380111694	0.17832660675048828	0.1845661997795105	0.1787319928407669	0.18020585179328918	0.18796269595623016	0.05522419512271881	0.1770225167274475	0.17318308353424072	0.17405231297016144	0.17381498217582703	0.17546875774860382	0.17444640398025513	0.18151667714118958	0.037006184458732605	0.19174300134181976	0.18832018971443176	0.19195275008678436	0.04704909771680832
490.0	0.33252593874931335	0.3330451250076294	0.33393144607543945	0.3281038701534271	0.32434144616127014	0.32206156849861145	0.3221442401409149	0.3285543918609619	0.3275819420814514	0.33018794655799866	0.3326718211174011	0.33150333166122437	0.33013105392456055	0.3318844139575958	0.33144187927246094	0.33250880241394043	0.32746222615242004	0.3291792869567871	0.3309105932712555	0.31893327832221985	0.32101020216941833	0.32455748319625854	0.32451552152633667	0.3219122588634491	0.3194633722305298	0.31673017144203186	0.3186923563480377	0.3258942663669586	0.21881845593452454	0.2186284363269806	0.31703636050224304	0.31726980209350586	0.32275593280792236	0.3161410391330719	0.31740275025367737	0.3315088152885437	0.06431853026151657	0.32157477736473083	0.3199078142642975	0.3222636878490448	0.3147249221801758	0.3170110881328583	0.31686949729919434	0.3247215151786804	0.043786343187093735	0.3341551423072815	0.32810044288635254	0.33621537685394287	0.05633345991373062
510.0	0.4410315155982971	0.44153526425361633	0.4412091374397278	0.43288275599479675	0.4305326044559479	0.43163153529167175	0.4332447648048401	0.4391615688800812	0.43485134840011597	0.4381726384162903	0.44140127301216125	0.4399940073490143	0.43868783116340637	0.44061166048049927	0.4408828914165497	0.4406222403049469	0.43609344959259033	0.44092240929603577	0.43961670994758606	0.4289475083351135	0.42914703488349915	0.4300079047679901	0.434933602809906	0.4314095377922058	0.4266946613788605	0.4207639694213867	0.4230441153049469	0.4290178120136261	0.35207346081733704	0.34944456815719604	0.42067211866378784	0.4200518727302551	0.42380183935165405	0.41968297958374023	0.42108601331710815	0.4291524589061737	0.08395206928253174	0.42635053396224976	0.42693454027175903	0.42915284633636475	0.4211059510707855	0.42242810130119324	0.42169860005378723	0.4260163903236389	0.05656107887625694	0.4299914538860321	0.42601507902145386	0.43183133006095886	0.07411816716194153
560.0	0.4526602029800415	0.4543847143650055	0.4533434808254242	0.4468248784542084	0.4440237581729889	0.44359761476516724	0.44525986909866333	0.451255738735199	0.4478621184825897	0.4504525363445282	0.4534692168235779	0.45219290256500244	0.45056143403053284	0.45293283462524414	0.4521791338920593	0.4523440897464752	0.44872674345970154	0.45171791315078735	0.4513806998729706	0.4404495358467102	0.44178855419158936	0.44290584325790405	0.4453431963920593	0.442594051361084	0.4387378990650177	0.4351068139076233	0.4359532296657562	0.44043731689453125	0.37258806824684143	0.37096524238586426	0.43470627069473267	0.43511340022087097	0.4391273856163025	0.43477022647857666	0.43595030903816223	0.44348934292793274	0.08907072246074677	0.4400162994861603	0.44002658128738403	0.44160839915275574	0.4346057176589966	0.4364277124404907	0.43617090582847595	0.4393690526485443	0.06136571988463402	0.4444361627101898	0.44117891788482666	0.44518911838531494	0.0789378359913826
620.0	0.4394886791706085	0.4390917420387268	0.4393457770347595	0.43782007694244385	0.436074435710907	0.4342508316040039	0.43404701352119446	0.4367740750312805	0.4386323392391205	0.4381967782974243	0.43942198157310486	0.4407869577407837	0.4394882023334503	0.43943265080451965	0.438851922750473	0.4394358992576599	0.4378524720668793	0.4357508420944214	0.43689239025115967	0.4323224425315857	0.433835506439209	0.4362707734107971	0.4342491328716278	0.43371307849884033	0.43237021565437317	0.42916062474250793	0.42917177081108093	0.43205174803733826	0.3803827166557312	0.38028866052627563	0.4300157129764557	0.4316875636577606	0.43475794792175293	0.431180864572525	0.4325087070465088	0.43912285566329956	0.09274446964263916	0.4350197911262512	0.43280228972435	0.43397384881973267	0.4292912185192108	0.4303992986679077	0.43105432391166687	0.43508559465408325	0.06402528285980225	0.43828442692756653	0.4370746314525604	0.4385055601596832	0.08286692947149277
665.0	0.31524819135665894	0.3161056339740753	0.3169904351234436	0.31031084060668945	0.3052355647087097	0.2999976873397827	0.30193889141082764	0.3091992735862732	0.3075603246688843	0.31339123845100403	0.3148583173751831	0.3130822777748108	0.3124411106109619	0.31413331627845764	0.3143134117126465	0.3144121766090393	0.30825722217559814	0.31294283270835876	0.3149178624153137	0.29907044768333435	0.30075374245643616	0.30318203568458557	0.3038232624530792	0.2989913821220398	0.29781514406204224	0.2995346188545227	0.30287307500839233	0.31132346391677856	0.25991442799568176	0.25806260108947754	0.29948100447654724	0.3010391294956207	0.30381399393081665	0.29916173219680786	0.29819440841674805	0.32021161913871765	0.028240326792001724	0.30336517095565796	0.29982325434684753	0.30145761370658875	0.29482850432395935	0.29793480038642883	0.2963777780532837	0.30952325463294983	0.018500525504350662	0.3234688341617584	0.31362614035606384	0.3272348642349243	0.02519119344651699
674.0	0.2701517641544342	0.27060744166374207	0.271251916885376	0.26372045278549194	0.258341908454895	0.25293686985969543	0.25553566217422485	0.2635935842990875	0.26045501232147217	0.2672900855541229	0.26961013674736023	0.2678152620792389	0.2670205235481262	0.2690969407558441	0.2686644196510315	0.26816242933273315	0.2622280418872833	0.26734840869903564	0.2685306668281555	0.2517872154712677	0.25376951694488525	0.2559124529361725	0.257074773311615	0.2520351707935333	0.25088080763816833	0.25158384442329407	0.2547667920589447	0.26325783133506775	0.21871317923069	0.2163829654455185	0.2514682412147522	0.25334420800209045	0.25594982504844666	0.25164273381233215	0.2509407699108124	0.27378201484680176	0.01751854084432125	0.25620317459106445	0.25361698865890503	0.2544000744819641	0.24807624518871307	0.25026798248291016	0.2489197999238968	0.2627527713775635	0.011571322567760944	0.2769865393638611	0.2661040723323822	0.2810640037059784	0.0163633543998003
681.0	0.26421383023262024	0.26410239934921265	0.26505446434020996	0.25751200318336487	0.252115398645401	0.247226282954216	0.24908556044101715	0.2568855285644531	0.25479283928871155	0.2612113654613495	0.2630403935909271	0.26176774501800537	0.26138293743133545	0.26282772421836853	0.26266738772392273	0.26190268993377686	0.2557426393032074	0.2603391110897064	0.2620370090007782	0.24597565829753876	0.24772076308727264	0.2496691793203354	0.25098732113838196	0.24573108553886414	0.24444887042045593	0.24514219164848328	0.24840334057807922	0.2571443021297455	0.21363915503025055	0.21140673756599426	0.2450118362903595	0.24651111662387848	0.24985356628894806	0.2451583743095398	0.244486004114151	0.2669060528278351	0.017199872061610222	0.24982129037380219	0.24669122695922852	0.2484290450811386	0.24142400920391083	0.24411684274673462	0.24260371923446655	0.25609415769577026	0.0119719123467803	0.2700780928134918	0.2592664062976837	0.2738693654537201	0.015970181673765182
