Wavelength	Pin 1	Pin 2	Pin 3	Pin 4	Pin 5	Pin 6	Pin 7	Pin 8	Pin 9	Pin 10	Pin 11	Pin 12	Pin 13	Pin 14	Pin 15	Pin 16	Pin 17	Pin 18	Pin 19	Pin 20	Pin 21	Pin 22	Pin 23	Pin 24	Pin 25	Pin 26	Pin 27	Pin 28	Pin 29	Pin 30	Pin 31	Pin 32	Pin 33	Pin 34	Pin 35	Pin 36	Pin 37	Pin 38	Pin 39	Pin 40	Pin 41	Pin 42	Pin 43	Pin 44	Pin 45	Pin 46	Pin 47	Pin 48	Pin 49	Pin 50	Pin 51	Pin 52	Pin 53	Pin 54	Pin 55	Pin 56	Pin 57	Pin 58	Pin 59	Pin 60	Pin 61	Pin 62	Pin 63	Pin 64	Pin 65	Pin 66	Pin 67	Pin 68	Pin 69	Pin 70	Pin 71	Pin 72	Pin 73	Pin 74	Pin 75	Pin 76	Pin 77	Pin 78	Pin 79
400.0	-4.1314831469208E-4	-3.721766988746822E-4	-2.4014041991904378E-4	-0.0012707716086879373	-0.0012960868189111352	-0.001187554094940424	-0.0010359560837969184	-0.0011457494692876935	-9.556189179420471E-4	-9.004060993902385E-4	-9.872441878542304E-4	-0.0012509927619248629	-0.0011959411203861237	-0.0010266167810186744	-0.0011617867276072502	-8.429931476712227E-4	-0.001227102242410183	-0.001011251239106059	-5.566098843701184E-4	-9.702929528430104E-4	-7.576720672659576E-4	-6.989079411141574E-4	-7.768821087665856E-4	-5.511320778168738E-4	-7.556203636340797E-4	-8.69454990606755E-4	-8.401170489378273E-4	-7.848703535273671E-4	-5.203593173064291E-4	-5.631776875816286E-4	-5.389421130530536E-4	-4.149335727561265E-4	-5.5048888316378E-4	-7.284206221811473E-4	-5.415349151007831E-4	-5.842680693604052E-4	-7.282035076059401E-4	-3.5121635301038623E-4	-2.3810671700630337E-4	-3.862366429530084E-4	-3.427803749218583E-4	-2.512535429559648E-4	-4.5749006676487625E-4	-4.0135858580470085E-4	-4.436241870280355E-4	1.3154366752132773E-4	2.895098295994103E-4	2.729629341047257E-4	-3.158647086820565E-5	1.154398123617284E-4	-2.3550695914309472E-4	-7.492571603506804E-5	0.0012700238730758429	7.78491550590843E-4	0.0011900716926902533	0.0015125026693567634	0.0015011810464784503	0.001420560642145574	9.802622953429818E-4	0.002406852087005973	-7.79187714215368E-4	-7.243541767820716E-4	-4.5722819049842656E-4	-3.3092242665588856E-4	-4.813720879610628E-4	-3.0302981031127274E-4	-5.220595048740506E-4	1.8397036183159798E-4	-8.429132867604494E-5	-4.8776494804769754E-4	-2.963034494314343E-4	1.9525249081198126E-4	2.835639752447605E-4	-1.6348078497685492E-4	0.0010036085732281208	-2.9381038621068E-4	-1.5077166608534753E-4	-5.28662814758718E-4	-1.7653593386057764E-4
412.0	0.03200312703847885	0.027167147025465965	0.04500814527273178	0.0447554737329483	0.04434386268258095	0.04247049614787102	0.016821157187223434	0.02742122672498226	0.013775869272649288	0.01875762641429901	0.019310439005494118	0.03477484732866287	0.0228231530636549	0.0328700989484787	0.017758212983608246	0.02237098105251789	0.015757910907268524	0.02057080715894699	0.018643347546458244	0.027964914217591286	0.022225109860301018	0.02130969613790512	0.01972934417426586	0.022760244086384773	0.026967758312821388	0.026129230856895447	0.019626209512352943	0.027976293116807938	0.01746354252099991	0.022620314732193947	0.025541236624121666	0.022377273067831993	0.023355470970273018	0.02178371325135231	0.02013813517987728	0.01840829662978649	0.016199784353375435	0.01652606576681137	0.013174854218959808	0.02254130132496357	0.015668872743844986	0.016206540167331696	0.015573573298752308	0.018976738676428795	0.022510049864649773	0.015866719186306	0.012497637420892715	0.019357163459062576	0.017862854525446892	0.012703293934464455	0.016757220029830933	0.00951281189918518	0.007600405253469944	0.006574482191354036	0.005702449474483728	0.0038603423163294792	0.004818344954401255	0.0065611316822469234	0.007881062105298042	4.6929714153520763E-4	0.033986207097768784	0.03383341431617737	0.035349633544683456	0.028886007145047188	0.033583320677280426	0.028992101550102234	0.025372853502631187	0.01942610554397106	0.024102458730340004	0.016149088740348816	0.023989219218492508	0.027579041197896004	0.024081917479634285	0.021040428429841995	0.02165954001247883	0.02095654048025608	0.01824089325964451	0.01738894172012806	0.012096364051103592
443.0	0.030245022848248482	0.026877837255597115	0.04337630420923233	0.040934037417173386	0.04150063917040825	0.040486373007297516	0.017306216061115265	0.0257987342774868	0.01552649587392807	0.018446853384375572	0.019735097885131836	0.03238615021109581	0.021853303536772728	0.0322028286755085	0.018495269119739532	0.021600104868412018	0.015750093385577202	0.021065901964902878	0.02062200754880905	0.02721645124256611	0.022149790078401566	0.022076807916164398	0.02045416831970215	0.021960703656077385	0.025702616199851036	0.024645788595080376	0.019540220499038696	0.026711491867899895	0.017564428970217705	0.021050384268164635	0.02593531832098961	0.02206345833837986	0.023830093443393707	0.021270254626870155	0.019591443240642548	0.01837652362883091	0.018540292978286743	0.01757928542792797	0.015142402611672878	0.021158605813980103	0.016772061586380005	0.018228109925985336	0.01627425290644169	0.01931658945977688	0.021796923130750656	0.018657982349395752	0.014103991910815239	0.019918890669941902	0.018208611756563187	0.013375305570662022	0.01747715473175049	0.010897037573158741	0.010253316722810268	0.009239538572728634	0.00819630641490221	0.0069997538812458515	0.007599623408168554	0.009615872986614704	0.009366974234580994	0.005455632694065571	0.03389883413910866	0.033244095742702484	0.03448740765452385	0.02896343730390072	0.03294491767883301	0.02798299491405487	0.025414898991584778	0.021202903240919113	0.02482292428612709	0.01773124188184738	0.023564890027046204	0.027549276128411293	0.025477467104792595	0.02085157111287117	0.02277958206832409	0.02095003053545952	0.01885855942964554	0.017626512795686722	0.012395847588777542
490.0	0.02608613111078739	0.025071101263165474	0.04206794872879982	0.035858895629644394	0.03477289900183678	0.03427630662918091	0.015065975487232208	0.024818969890475273	0.014827465638518333	0.018274035304784775	0.019178640097379684	0.02804427593946457	0.02063608169555664	0.030434278771281242	0.017684657126665115	0.02135963924229145	0.015011399984359741	0.01985711231827736	0.020162848755717278	0.026815759018063545	0.021441038697957993	0.021643424406647682	0.021839041262865067	0.022385336458683014	0.024543561041355133	0.023221908137202263	0.020431648939847946	0.025273915380239487	0.01737087406218052	0.022485215216875076	0.026211682707071304	0.02248796448111534	0.02153576910495758	0.020590372383594513	0.02014051377773285	0.018004031851887703	0.017445582896471024	0.018842803314328194	0.01814315840601921	0.020658541470766068	0.017582204192876816	0.017493465915322304	0.017231976613402367	0.020410725846886635	0.022123511880636215	0.019348764792084694	0.017278339713811874	0.020662862807512283	0.018073109909892082	0.015559102408587933	0.017060672864317894	0.01453373022377491	0.01359061524271965	0.012754697352647781	0.01287837978452444	0.01237933523952961	0.011780690401792526	0.012134307064116001	0.013466929085552692	0.012524961493909359	0.03142248094081879	0.03254299983382225	0.0345008485019207	0.03046393021941185	0.032724570482969284	0.03009382262825966	0.025041064247488976	0.025228388607501984	0.026280494406819344	0.018979500979185104	0.02479775995016098	0.029156697914004326	0.028012458235025406	0.021541444584727287	0.027198106050491333	0.02006223052740097	0.018251772969961166	0.01924075372517109	0.014896068722009659
510.0	0.02650855854153633	0.02652348391711712	0.04741555079817772	0.03505747765302658	0.03321343660354614	0.032121025025844574	0.014622172340750694	0.023957213386893272	0.01417758408933878	0.018409157171845436	0.018406901508569717	0.026619737967848778	0.020034275949001312	0.03231770917773247	0.017097175121307373	0.022213082760572433	0.013968070037662983	0.020247772336006165	0.02172340266406536	0.02785613387823105	0.022655054926872253	0.022962026298046112	0.023525619879364967	0.024014044553041458	0.02606445737183094	0.024086803197860718	0.021343346685171127	0.026683339849114418	0.0181130338460207	0.024820439517498016	0.028882579877972603	0.02522054873406887	0.02312702126801014	0.02221251279115677	0.022026322782039642	0.018802640959620476	0.017990784719586372	0.020507652312517166	0.019787827506661415	0.022428292781114578	0.019396910443902016	0.018780702725052834	0.018168793991208076	0.022061262279748917	0.02391667105257511	0.02225603722035885	0.02007599174976349	0.023391352966427803	0.019987577572464943	0.01750900223851204	0.01817643828690052	0.014962617307901382	0.016798870638012886	0.013997171074151993	0.015422630123794079	0.014772812835872173	0.01444638054817915	0.014263018034398556	0.01560529600828886	0.017002642154693604	0.033630888909101486	0.035795144736766815	0.03853611275553703	0.035395264625549316	0.036449555307626724	0.034661054611206055	0.02716110274195671	0.03036389872431755	0.030765632167458534	0.02066306211054325	0.028204545378684998	0.034221626818180084	0.03387486934661865	0.02435041218996048	0.03484613075852394	0.022059928625822067	0.020356884226202965	0.020314177498221397	0.016221659258008003
560.0	0.027743075042963028	0.027141092345118523	0.04960958659648895	0.0357988215982914	0.03373577445745468	0.03388635441660881	0.01374548114836216	0.025234300643205643	0.014758461154997349	0.018844647333025932	0.019850298762321472	0.027429107576608658	0.020499693229794502	0.03394000604748726	0.017302876338362694	0.022260762751102448	0.014655678533017635	0.020786095410585403	0.022576866671442986	0.029066745191812515	0.022728757932782173	0.02412322349846363	0.02575034648180008	0.025359883904457092	0.02735421620309353	0.02568518929183483	0.02232963591814041	0.027308925986289978	0.018713898956775665	0.026555201038718224	0.03120599314570427	0.027041878551244736	0.024042503908276558	0.023014841601252556	0.023361314088106155	0.019299352541565895	0.019140496850013733	0.021981827914714813	0.021599985659122467	0.023851169273257256	0.02070455625653267	0.018938487395644188	0.018566234037280083	0.02240804024040699	0.02500961162149906	0.024044927209615707	0.021481186151504517	0.025276197120547295	0.020902005955576897	0.018004296347498894	0.01871739886701107	0.01705149933695793	0.017572171986103058	0.015693549066781998	0.016268303617835045	0.016575545072555542	0.015239221043884754	0.015435311011970043	0.016269134357571602	0.01822129264473915	0.03525448590517044	0.037775229662656784	0.04091982543468475	0.037541285157203674	0.038659777492284775	0.03788626939058304	0.028216326609253883	0.03289270028471947	0.03268303722143173	0.02183489501476288	0.029132764786481857	0.03652442991733551	0.03568841144442558	0.02547895535826683	0.03701964020729065	0.022481294348835945	0.020856980234384537	0.02126150019466877	0.016651861369609833
620.0	0.029861832037568092	0.028851525858044624	0.05433276668190956	0.03677042946219444	0.03355993703007698	0.03322730213403702	0.013752013444900513	0.0267955269664526	0.015013273805379868	0.01931714080274105	0.01972212828695774	0.02747492678463459	0.020628683269023895	0.035545915365219116	0.01829981990158558	0.021985985338687897	0.014657260850071907	0.02113843895494938	0.023643704131245613	0.02981904149055481	0.02299324981868267	0.02432847209274769	0.027202440425753593	0.025606835260987282	0.02758042886853218	0.026519617065787315	0.02282818593084812	0.026782548055052757	0.018794866278767586	0.02784785069525242	0.031494494527578354	0.027814628556370735	0.023916564881801605	0.02361273393034935	0.02390591986477375	0.019776277244091034	0.019555002450942993	0.02243041805922985	0.022609887644648552	0.02409115619957447	0.02159281261265278	0.018994536250829697	0.019392769783735275	0.022168241441249847	0.02549363672733307	0.024832800030708313	0.02285248599946499	0.025281501933932304	0.021083706989884377	0.018297675997018814	0.018977101892232895	0.017035748809576035	0.01791924424469471	0.016136033460497856	0.016876641660928726	0.01773541420698166	0.016751494258642197	0.016967376694083214	0.017480680719017982	0.018875466659665108	0.03659771382808685	0.039010997861623764	0.04254963621497154	0.03956741839647293	0.04003828763961792	0.03962863236665726	0.02780432254076004	0.035882916301488876	0.0338592566549778	0.022065412253141403	0.02978777326643467	0.03780071809887886	0.03735790774226189	0.025927437469363213	0.039724938571453094	0.02214721217751503	0.02051629312336445	0.021596111357212067	0.017100105062127113
665.0	0.005811166018247604	0.005884402897208929	0.01240471750497818	0.006478685885667801	0.0054056402295827866	0.005481692496687174	0.002101197373121977	0.004581782966852188	0.0024216503370553255	0.00352920638397336	0.0034194565378129482	0.00490145618095994	0.0036260744091123343	0.007329095620661974	0.0029897845815867186	0.0042947824113070965	0.0022246306762099266	0.003899448085576296	0.005070492625236511	0.005830025766044855	0.0043729208409786224	0.005101203452795744	0.0064002750441432	0.005486774258315563	0.0056887478567659855	0.0051202732138335705	0.004547838121652603	0.0053548673167824745	0.004041303414851427	0.006504018325358629	0.007249398157000542	0.00663566030561924	0.0050553930923342705	0.004995322320610285	0.005300638731569052	0.004020221531391144	0.003940469119697809	0.005059857852756977	0.0051658847369253635	0.0053984238766133785	0.005072927568107843	0.00399812450632453	0.003986504394561052	0.0047649843618273735	0.005396820139139891	0.006591919343918562	0.00605706637725234	0.00630591344088316	0.004809123929589987	0.004474584944546223	0.0038547685835510492	0.004101928323507309	0.005271565169095993	0.004117431119084358	0.004813462495803833	0.005326989572495222	0.004778935573995113	0.004813413135707378	0.004709712229669094	0.006769395899027586	0.007476111873984337	0.008758329786360264	0.009668437764048576	0.009735798463225365	0.00906812958419323	0.00984683632850647	0.005733363330364227	0.00970677100121975	0.008339930325746536	0.004837912507355213	0.006834633182734251	0.009352482855319977	0.009517564438283443	0.006245519500225782	0.01135608833283186	0.005016422364860773	0.00489438883960247	0.0044987136498093605	0.003788628615438938
674.0	0.0016543949022889137	0.0017684894846752286	0.004800986964255571	0.001906529301777482	0.0017655628034844995	0.0015367999440059066	-2.8136547189205885E-4	0.0012976647121831775	1.554840273456648E-4	9.34548384975642E-4	8.085005101747811E-4	5.343244411051273E-4	6.006313487887383E-4	0.0028830773662775755	5.454276106320322E-4	0.0011515027144923806	-2.4809765818645246E-5	0.0013498413609340787	0.0018956498242914677	0.0021617363672703505	0.001813479932025075	0.0018976784776896238	0.0022889068350195885	0.0022361332084983587	0.002464187564328313	0.0022515736054629087	0.0016971778823062778	0.0020466120913624763	7.605459541082382E-4	0.002904091263189912	0.0031590077560395002	0.002881246153265238	0.002131256740540266	0.0018671192228794098	0.0021522168535739183	9.888712083920836E-4	0.0014739723410457373	0.0018781449180096388	0.0023885052651166916	0.0022582041565328836	0.001960352063179016	0.0012689913855865598	0.0010291958460584283	0.0016320961294695735	0.0023155556991696358	0.002682008082047105	0.002511375118046999	0.0025573892053216696	0.00174167868681252	0.0015172812854871154	0.0013116508489474654	8.648903458379209E-4	0.0019521118374541402	0.0011816391488537192	0.0016073505394160748	0.002248497446998954	0.0019709791522473097	0.0017058871453627944	0.0012538190931081772	0.002723981160670519	0.0030384198762476444	0.0034270635806024075	0.004299387335777283	0.004207496531307697	0.0038872500881552696	0.004719446878880262	0.0024857281241565943	0.0046625626273453236	0.004037231672555208	0.0019465775694698095	0.002937508514150977	0.004548743832856417	0.004863807000219822	0.0025339359417557716	0.006029923912137747	0.0015719400253146887	0.0015382800484076142	0.0014662217581644654	9.137110318988562E-4
681.0	0.0017460713861510158	0.0014964877627789974	0.00461485143750906	0.00207958254031837	0.0017873406177386642	0.002115703886374831	2.144811733160168E-4	0.0012863839510828257	5.045390571467578E-4	9.915372356772423E-4	0.001106404117308557	7.776970160193741E-4	7.580947130918503E-4	0.0029823698569089174	8.85499466676265E-4	0.001446620561182499	3.175688616465777E-4	0.0017428438877686858	0.0022309869527816772	0.0025385720655322075	0.0019563965033739805	0.002226251410320401	0.0027176826260983944	0.002542311791330576	0.0025136214680969715	0.002030275296419859	0.0018473720410838723	0.001953789032995701	0.001169605297036469	0.002868515206500888	0.003432326950132847	0.0029701218008995056	0.0019877725280821323	0.002136231167241931	0.002417860319837928	0.0014283190248534083	0.0017194105312228203	0.002455597510561347	0.0024101235903799534	0.0026332002598792315	0.002291240496560931	0.001649209763854742	0.0011376967886462808	0.0020069098100066185	0.0025030893739312887	0.0030145796481519938	0.0023242824245244265	0.002719669369980693	0.0018529973458498716	0.00168009998742491	0.001993065932765603	0.0012494783150032163	0.0019799484871327877	0.0013353422982618213	0.0015100238379091024	0.002284294692799449	0.0023980275727808475	0.0023810695856809616	0.0014332854188978672	0.0028406274504959583	0.002834771294146776	0.0037114331498742104	0.004322972148656845	0.004436558578163385	0.004198236856609583	0.004954609554260969	0.0026007755659520626	0.004779387265443802	0.004338770639151335	0.0020397461485117674	0.003026361111551523	0.004911573603749275	0.004739190451800823	0.0029543712735176086	0.006266478449106216	0.002233491512015462	0.0016973738092929125	0.0018985588103532791	0.0010011077392846346
