Wavelength	Pin 1	Pin 2	Pin 3	Pin 4	Pin 5	Pin 6	Pin 7	Pin 8	Pin 9	Pin 10	Pin 11	Pin 12	Pin 13	Pin 14	Pin 15	Pin 16	Pin 17	Pin 18	Pin 19	Pin 20	Pin 21	Pin 22	Pin 23	Pin 24	Pin 25	Pin 26	Pin 27	Pin 28	Pin 29	Pin 30	Pin 31	Pin 32	Pin 33	Pin 34	Pin 35	Pin 36	Pin 37	Pin 38	Pin 39	Pin 40	Pin 41	Pin 42	Pin 43	Pin 44	Pin 45	Pin 46	Pin 47	Pin 48	Pin 49	Pin 50	Pin 51	Pin 52	Pin 53	Pin 54	Pin 55	Pin 56	Pin 57	Pin 58	Pin 59	Pin 60
400.0	68.89551056548953	68.63052783254534	69.50915478914976	67.98899068962783	67.38929292559624	66.98484559636563	68.37949155922979	68.63052783254534	69.09076100029051	68.47711677663028	67.62638273928314	66.25962969567627	66.21779031679034	65.98070050310344	66.27357615530491	66.5385588882491	66.2038438571617	66.48277304973453	66.55250534787774	66.51066596899182	66.60829118639231	68.32370572071522	68.93734994437546	69.10470745991915	68.40738447848707	67.05457789450884	66.88722037896514	66.55250534787774	69.17443975806236	69.1186539195478	67.18009603116661	66.9430062174797	66.84538100007921	66.71986286342144	66.25962969567627	66.7059164037928	66.58039826713502	67.01273851562291	67.34745354671031	67.55665044113994	67.76584733556956	68.49106323625892	69.48126186989248	68.60263491328806	67.82163317408413	67.52875752188265	67.41718584485352	67.33350708708167	66.60829118639231	66.31541553419083	66.81748808082193	67.0406314348802	66.97089913673699	67.34745354671031	67.73795441631228	68.43527739774436	68.89551056548953	68.49106323625892	68.01688360888511	67.26377478893846
412.5	71.99668442644179	71.70216470584273	72.62588564772159	71.07296348456293	70.41698774322867	69.88149734213948	71.12651252467185	71.5549048455432	71.39425772521645	71.56829210557044	70.30988966301084	69.19874708075076	68.83729106001556	68.95777640026063	69.1719725606963	68.91761462017894	69.18535982072353	69.52004132140428	69.15858530066907	69.22552160080522	69.45310502126813	71.3273214250803	72.03684620652348	71.58167936559767	71.13989978469908	69.97520816233009	69.58697762154043	69.26568338088691	71.67539018578827	71.66200292576104	70.12246802262962	69.37278146110475	69.19874708075076	69.10503626056015	69.01132544036955	69.53342858143151	69.38616872113198	69.81456104200333	70.18940432276577	70.202791582793	70.24295336287469	71.74232648592442	71.99668442644179	71.38087046518922	70.5642476035282	70.36343870311975	70.202791582793	70.13585528265685	69.47987954132259	69.31923242099583	69.5735903615132	69.60036488156766	69.72085022181273	69.86811008211225	70.65795842371881	70.91231636423618	71.5549048455432	71.18006156478077	70.67134568374604	70.01536994241178
442.5	65.296147367917	65.49051729496568	65.5512578971684	65.01674059778452	64.1299278056249	63.4739293018356	64.68874134588987	64.73733382765204	64.99244435690343	64.84666691161692	63.826224794611335	62.842227038927376	62.40489470306784	62.10119169205427	62.44133906438947	62.33200598042458	62.62356087099761	62.9637082433328	62.246969137340784	62.62356087099761	62.51422778703272	64.00844660121948	64.67659322544932	64.43363081663847	64.16637216694653	62.80578267760575	62.927263882011175	62.3077097395435	64.26355713047087	64.25140901003033	62.80578267760575	62.793634557165205	62.830078918486834	62.55067214835435	62.70859771408141	63.26741125434637	63.303855615668	63.54681802447885	63.692595469765365	63.88696539681405	64.08133532386273	64.62800074368715	65.30829548835754	64.68874134588987	63.71689171064645	63.03659696597606	63.17022629082203	63.145930049940944	62.477783425711095	62.40489470306784	62.696449593640864	63.08518944773823	63.243115013465285	63.41318869963288	63.93555787857622	64.43363081663847	64.90740751381963	64.28785337135196	63.874817276373506	63.20667065214366
490.0	54.85738488472998	54.79978578258306	55.23753895889968	53.75148212350905	52.86445595044643	52.23086582683027	53.129411820322275	53.40588751062751	53.3367685880512	53.371328049339354	52.24238564725965	51.29776037205011	50.67569006886333	50.387694558128715	50.82544773444533	50.52593240328133	50.756328811869025	50.67569006886333	50.81392791401595	50.733289171010256	51.0788837838918	52.23086582683027	53.02573343645781	53.04877307731658	52.02350905910134	51.40143875591457	51.0788837838918	50.91760629788041	52.760777566581964	52.38062349241227	51.412958576343954	51.04432432260364	51.27472073119134	51.06736396346241	50.756328811869025	51.77007300965488	52.196306365542114	52.760777566581964	52.3575838515535	52.369103671982884	52.38062349241227	52.99117397516966	53.64780373964459	52.79533702787012	51.83919193223119	51.366879294626415	51.320800012908876	51.6779144462198	50.79088827315718	50.74480899143964	51.65487480536103	51.85071175266057	51.68943426664919	51.585755882784724	52.08110816124827	52.714698284864426	53.106372179463506	52.55342079885304	52.04654869996011	51.70095408707857
510.0	50.112871166318655	49.88068018388003	50.51668157055974	48.29572434723377	47.0035310536623	46.640101689845324	47.81115186214447	48.002961804158986	48.09381914511323	48.002961804158986	46.53914908878505	45.39838469680399	44.812859610654414	44.530192327685654	44.843145390972495	44.85324065107852	44.78257383033633	44.92390747182071	45.03495533298701	44.65133544895798	45.02486007288098	47.01362631376833	47.99286654405296	47.87172342278063	46.58962538931519	45.61038515903056	45.16619371436536	44.78257383033633	47.52848457917571	47.46791301853955	45.39838469680399	45.337813136167824	45.3277178760618	45.014764812774956	45.06524111330509	45.83248088136315	46.34733914677054	46.529053828679025	46.27667232602835	46.22619602549821	46.700673250481486	47.29629359673709	47.94239024352282	47.03381683398038	46.246386545710266	45.63057567924261	45.5901946388185	46.01419556327164	45.13590793404728	45.03495533298701	45.39838469680399	45.691147239878774	45.63057567924261	45.620480419136584	46.60981590952724	46.94295949302614	47.4881035387516	46.80162585154176	46.53914908878505	45.85267140157521
560.0	39.48274555802345	39.038008749485016	39.59392976015806	35.035377472639084	33.42938344180584	33.10818463563919	35.233038276433945	36.11015809327364	36.270757496356964	36.22134229540825	33.787643648684025	31.86045081168413	30.760962590575218	30.798023991286755	31.218053199350834	31.06980759650469	31.230406999588013	31.415714003145695	31.55160580575466	31.391006402671337	31.601021006703377	34.94890087097883	36.64137150347233	36.53018730133772	34.45474886149168	32.71286302804947	31.9963426142931	31.279822200536728	36.28311129659414	37.34553811699152	32.50284842401743	32.033404015004635	31.7616204097867	31.78632801026106	31.502190604805946	32.20635721832514	32.354602821171284	32.42872562259436	32.15694201737642	32.51520222425461	33.20701503753662	34.45474886149168	35.529529482126236	34.31885705888271	33.169953636825085	32.52755602449179	32.39166422188282	32.342249020934105	31.403360202908516	31.415714003145695	31.86045081168413	32.00869641453028	31.922219812870026	32.07046541571617	33.82470504939556	34.28179565817118	34.813009068369865	33.94824305176735	33.589982844889164	32.40401802212
620.0	19.34154126793146	19.429457364603877	19.306374829262495	17.27551299612969	16.65130870975554	16.449101687408984	17.3194710444659	17.565636115148664	17.635968992486596	17.222763338126242	15.956771546043456	15.112777017988265	14.80507067963481	14.892986776307225	14.840237118303776	14.884195166639984	14.892986776307225	14.840237118303776	14.725946192629635	14.787487460300326	14.901778385974467	16.93264021910727	17.398595531471074	17.187596899457276	16.721641587093472	15.42048335634172	15.068818969652057	14.725946192629635	17.504094847477973	17.556844505481422	15.156735066324472	15.08640218898654	14.989694482646883	14.91936160530895	15.244651162996888	15.517191062681377	15.640273598022759	15.719398085027933	15.464441404677927	15.640273598022759	15.728189694695175	16.730433196760714	17.055722754448652	16.220519836060703	15.710606475360692	15.490816233679652	15.279817601665854	15.271025991998613	14.80507067963481	15.060027359984815	15.060027359984815	15.227067943662405	15.262234382331371	15.077610579319298	15.7545645236969	16.053479252383113	16.440310077741742	16.000729594379663	15.710606475360692	15.244651162996888
665.0	14.497955296188593	14.392770614475012	14.243758982047439	13.060431312769651	12.51697712391615	12.105003787204623	12.920185070484877	12.937715850770473	12.90265429019928	12.578334854915738	11.771918961778283	10.965503068640828	10.781429875642061	10.912910727784038	10.851552996784449	10.79019526578486	10.834022216498852	10.79019526578486	10.772664485499263	10.851552996784449	10.816491436213255	12.385496271774173	12.692284926772118	12.473150173202157	12.113769177347422	11.254760943353176	10.95673767849803	10.772664485499263	12.73611187748611	12.823765778914094	11.132045481353998	11.00933001935482	10.991799239069223	10.921676117926836	11.149576261639595	11.28982250392437	11.465130306780338	11.517722647637129	11.447599526494741	11.552784208208323	11.657968889921904	12.140065347775817	12.525742514058948	11.95599215477705	11.447599526494741	11.272291723638773	11.158341651782393	11.096983920782804	10.912910727784038	10.930441508069634	10.965503068640828	11.132045481353998	11.17587243206799	11.149576261639595	11.491426477208734	11.763153571635485	12.017349885776639	11.754388181492686	11.50895725749433	11.193403212353587
673.75	13.552177674137056	13.523646773770452	13.304909870959818	12.296818058006465	11.73571035079658	11.488442547619343	11.963957553729415	12.12563265580684	12.030529654584825	11.783261851407588	11.01292754150927	10.271124131977558	10.071407829411328	10.195041730999947	10.118959330022335	10.185531430877745	10.14749023038894	10.109449029900134	10.071407829411328	10.128469630144536	10.166510830633342	11.593055848963559	11.773751551285386	11.631097049452364	11.383829246275127	10.48035073466599	10.261613831855357	10.01434602867812	11.707179450429976	11.840323652140796	10.318675632588565	10.271124131977558	10.299655032344162	10.271124131977558	10.404268333688378	10.565943435765803	10.74663913808763	10.803700938820839	10.68006703723222	10.775170038454235	10.851252439431846	11.374318946152925	11.640607349574566	11.174602643586695	10.756149438209832	10.518391935154796	10.432799234054983	10.432799234054983	10.195041730999947	10.328185932710767	10.28063443209976	10.356716833077371	10.470840434543788	10.394758033566177	10.74663913808763	10.927334840409458	11.127051142975688	10.908314240165055	10.74663913808763	10.366227133199573
681.25	12.884477412328124	12.861276072449982	12.737535593099892	11.678007738664746	11.167578261345625	10.86596084292978	11.430526779964566	11.453728119842708	11.461461899802089	11.10570802167058	10.409667825326324	9.790965428575873	9.558952029794455	9.644023609347641	9.6208222694695	9.589887149631977	9.566685809753835	9.63628982938826	9.566685809753835	9.574419589713216	9.582153369672596	11.036104002036154	11.082506681792438	11.067039121873677	10.788623043335974	9.930173467844725	9.698160069063306	9.543484469875693	11.128909361548722	11.121175581589341	9.75229652877897	9.790965428575873	9.76003030873835	9.62855604942888	9.914705907925963	10.061647727154195	10.208589546382427	10.23952466621995	10.108050406910479	10.208589546382427	10.270459786057472	10.780889263376594	11.012902662158012	10.525674524717033	10.084849067032337	10.11578418686986	9.953374807722867	9.883770788088441	9.644023609347641	9.651757389307022	9.775497868657112	9.945641027763486	9.99977748747915	9.937907247804105	10.200855766423047	10.401934045366943	10.657148784026504	10.409667825326324	10.270459786057472	9.922439687885344
