Wavelength	Pin 1	Pin 2	Pin 3	Pin 4	Pin 5	Pin 6	Pin 7	Pin 8	Pin 9	Pin 10	Pin 11	Pin 12	Pin 13	Pin 14	Pin 15	Pin 16	Pin 17	Pin 18	Pin 19	Pin 20	Pin 21	Pin 22	Pin 23	Pin 24	Pin 25	Pin 26	Pin 27	Pin 28	Pin 29	Pin 30
400.0	0.0034282724373042583	0.003426074283197522	0.003790136892348528	0.0036655962467193604	0.003481150371953845	0.003834672039374709	0.004786788951605558	0.004597308114171028	0.004087882116436958	0.004161398857831955	0.004636922385543585	0.00460798479616642	0.004552667494863272	0.003787329653277993	0.0031801171135157347	0.0031864200718700886	0.0034360503777861595	0.0033045578747987747	0.0031855744309723377	0.003422415116801858	0.00346397771500051	0.0037336552049964666	0.0037231091409921646	0.0038438509218394756	0.004052112344652414	0.003855043789371848	0.0038045046385377645	0.00410484429448843	0.0037528586108237505	0.003787056542932987
412.0	0.03885990381240845	0.042381830513477325	0.039741307497024536	0.03772055357694626	0.04190951958298683	0.040588539093732834	0.03151845186948776	0.034238945692777634	0.036913949996232986	0.0401376374065876	0.031052235513925552	0.032315295189619064	0.03315914049744606	0.035378582775592804	0.04401746764779091	0.04521803557872772	0.04201475530862808	0.04105633497238159	0.04267577454447746	0.036583319306373596	0.0350755974650383	0.03979657590389252	0.03306111693382263	0.03482454642653465	0.031245237216353416	0.030265502631664276	0.027834124863147736	0.024319704622030258	0.027133814990520477	0.025359097868204117
443.0	0.04239096865057945	0.04484589397907257	0.044852662831544876	0.04290742427110672	0.04551549628376961	0.042769189924001694	0.03818312659859657	0.03970967233181	0.03960084542632103	0.042077288031578064	0.03626713901758194	0.03660626336932182	0.03911907225847244	0.03871242329478264	0.04641291871666908	0.04747772216796875	0.045559559017419815	0.045451536774635315	0.04726545140147209	0.04075340926647186	0.04003378376364708	0.04295284301042557	0.03798668831586838	0.03981350362300873	0.035504672676324844	0.0337524376809597	0.031159494072198868	0.0281154066324234	0.029127473011612892	0.026473933830857277
490.0	0.05244012549519539	0.05456343665719032	0.05693808197975159	0.056989721953868866	0.056244879961013794	0.05688714608550072	0.0540214441716671	0.05398111417889595	0.05150100588798523	0.04887647554278374	0.050649236887693405	0.05080920085310936	0.05048997700214386	0.04847896099090576	0.05522513762116432	0.05586544796824455	0.055443860590457916	0.05815122649073601	0.05841410160064697	0.05526619777083397	0.05487890914082527	0.055740710347890854	0.05122564733028412	0.051409706473350525	0.04808060824871063	0.04336822032928467	0.04204051196575165	0.03854629024863243	0.03710699453949928	0.03612633794546127
510.0	0.0710921660065651	0.07367119193077087	0.07911622524261475	0.08013581484556198	0.077168308198452	0.07886867970228195	0.07788093388080597	0.07788067311048508	0.07298097014427185	0.06589461117982864	0.0732080489397049	0.07330736517906189	0.07196466624736786	0.06779620051383972	0.07522301375865936	0.07515766471624374	0.07619721442461014	0.07917462289333344	0.07871007174253464	0.07710383087396622	0.07666070014238358	0.07739489525556564	0.07212383300065994	0.07196372002363205	0.06896992027759552	0.062278617173433304	0.06079908832907677	0.05664693936705589	0.05320876091718674	0.05218463018536568
560.0	0.07632391154766083	0.07800756394863129	0.08417173475027084	0.0853954404592514	0.0824776440858841	0.08397059142589569	0.08352836966514587	0.0837756022810936	0.07901836186647415	0.07022121548652649	0.07862278074026108	0.07920277863740921	0.07747924327850342	0.07155299931764603	0.07937057316303253	0.08083104342222214	0.0811629444360733	0.08395984768867493	0.08317594230175018	0.08180984109640121	0.08126141875982285	0.0825951024889946	0.0772627592086792	0.0778365358710289	0.07474695891141891	0.0676681324839592	0.06572917848825455	0.060545142740011215	0.05785999074578285	0.056327663362026215
620.0	0.0854073092341423	0.08481746166944504	0.09134671837091446	0.0933644250035286	0.08997073769569397	0.09067735075950623	0.09144246578216553	0.0904652327299118	0.08466456085443497	0.07692727446556091	0.08470479398965836	0.0855749249458313	0.08415596932172775	0.07787690311670303	0.08591575175523758	0.08551989495754242	0.0870872363448143	0.08909423649311066	0.08721308410167694	0.08683286607265472	0.08707419782876968	0.08764644712209702	0.08319704979658127	0.0832655280828476	0.08153810352087021	0.07439737021923065	0.07272753119468689	0.06612056493759155	0.06356215476989746	0.06202836334705353
665.0	0.027497034519910812	0.02689965069293976	0.030924012884497643	0.03179221972823143	0.029093170538544655	0.030303088948130608	0.03196040540933609	0.03173914551734924	0.028896888718008995	0.02302447333931923	0.02936253696680069	0.02967297099530697	0.028576960787177086	0.024595867842435837	0.026939213275909424	0.026741206645965576	0.02755444124341011	0.028925662860274315	0.027832964435219765	0.029107699170708656	0.029029427096247673	0.02860419824719429	0.027630258351564407	0.027956457808613777	0.02769729122519493	0.025411903858184814	0.02521461807191372	0.02338031865656376	0.021555261686444283	0.021301530301570892
674.0	0.01677345298230648	0.0159592367708683	0.019120382145047188	0.020477494224905968	0.018254319205880165	0.019113712012767792	0.020896412432193756	0.020964685827493668	0.0187996719032526	0.01325412467122078	0.01962263323366642	0.01956436224281788	0.01845795474946499	0.015425316989421844	0.016851861029863358	0.016894780099391937	0.01730751059949398	0.01719561032950878	0.01656533032655716	0.018004994839429855	0.017978040501475334	0.017877575010061264	0.018102457746863365	0.018025202676653862	0.01838756538927555	0.017156992107629776	0.016802767291665077	0.015062461607158184	0.014273680746555328	0.01359141618013382
681.0	0.015933047980070114	0.015922272577881813	0.018807411193847656	0.02014833316206932	0.017779478803277016	0.018848396837711334	0.020356059074401855	0.02056696079671383	0.018558798357844353	0.012936141341924667	0.01969851925969124	0.019562430679798126	0.018206527456641197	0.015472477301955223	0.016747551038861275	0.016312116757035255	0.016985222697257996	0.017254972830414772	0.0162491574883461	0.017054827883839607	0.0174335315823555	0.01736942119896412	0.0178811177611351	0.017617154866456985	0.0184031929820776	0.01705775037407875	0.017141180112957954	0.014668354764580727	0.014373717829585075	0.013524378649890423
