Wavelength	Pin 1	Pin 2	Pin 3	Pin 4	Pin 5	Pin 6	Pin 7	Pin 8	Pin 9	Pin 10	Pin 11	Pin 12	Pin 13	Pin 14	Pin 15	Pin 16	Pin 17	Pin 18	Pin 19	Pin 20	Pin 21	Pin 22	Pin 23	Pin 24	Pin 25	Pin 26	Pin 27	Pin 28	Pin 29	Pin 30	Pin 31	Pin 32	Pin 33	Pin 34	Pin 35	Pin 36	Pin 37	Pin 38	Pin 39	Pin 40	Pin 41	Pin 42	Pin 43	Pin 44	Pin 45	Pin 46	Pin 47	Pin 48	Pin 49	Pin 50	Pin 51	Pin 52	Pin 53	Pin 54	Pin 55	Pin 56	Pin 57	Pin 58	Pin 59	Pin 60
400.0	0.01216751430183649	0.010542483069002628	NaN	NaN	NaN	6.314187776297331E-4	8.565033203922212E-4	NaN	8.554430096410215E-4	6.886508199386299E-4	7.026767707429826E-4	6.818701513111591E-4	8.577920380048454E-4	6.30779133643955E-4	4.538419016171247E-4	3.874223621096462E-4	3.7434144178405404E-4	7.569674635306001E-4	2.690531255211681E-4	3.316101501695812E-4	7.124094408936799E-4	8.064782014116645E-4	8.430385496467352E-4	NaN	9.979320457205176E-4	4.996157367713749E-4	6.134106079116464E-4	5.449254531413317E-4	6.494279368780553E-4	NaN	6.598010077141225E-4	6.613589357584715E-4	4.3154103332199156E-4	3.7085512303747237E-4	6.875630933791399E-4	4.6547839883714914E-4	7.474135491065681E-4	8.771315915510058E-4	6.531360559165478E-4	7.484204834327102E-4	8.419639780186117E-4	0.0011714028660207987	7.218823884613812E-4	6.729987799189985E-4	NaN	7.003718055784702E-4	6.856608670204878E-4	5.229964153841138E-4	3.2121804542839527E-4	3.1588535057380795E-4	5.484633729793131E-4	5.93631062656641E-4	5.116385291330516E-4	4.3264380656182766E-4	4.4113711919635534E-4	4.878653271589428E-4	6.033592508174479E-4	6.837869877927005E-4	5.899851676076651E-4	4.7996308421716094E-4
412.0	0.1323041319847107	0.12977585196495056	NaN	NaN	NaN	0.008407238870859146	0.008794641122221947	NaN	0.009459692984819412	0.010352681390941143	0.010801716707646847	0.008937452919781208	0.008823774755001068	0.009106314741075039	0.010320558212697506	0.011354930698871613	0.011165128089487553	0.006367302965372801	0.012090140953660011	0.010891547426581383	0.00654315110296011	0.009444757364690304	0.007755903527140617	NaN	0.005357183516025543	0.009335934184491634	0.007800089195370674	0.009289129637181759	0.007125795818865299	NaN	0.007803268264979124	0.005159176420420408	0.011679824441671371	0.013701814226806164	0.014044685289263725	0.012889388017356396	0.009293889626860619	0.008110124617815018	0.010273558087646961	0.009999261237680912	0.007393653504550457	0.004267603624612093	0.00850882101804018	0.01130622811615467	NaN	0.009939419105648994	0.006909620948135853	0.0073450240306556225	0.014072724618017673	0.011345311999320984	0.010103346779942513	0.011093993671238422	0.009588903747498989	0.014216341078281403	0.012490724213421345	0.010367835871875286	0.008359537459909916	0.0057471445761621	0.006589077413082123	0.011706368066370487
443.0	0.20011715590953827	0.19510850310325623	NaN	NaN	NaN	0.011356303468346596	0.010907265357673168	NaN	0.010413612239062786	0.010816816240549088	0.011637273244559765	0.009649342857301235	0.009943031705915928	0.009675021283328533	0.011188692413270473	0.01106672640889883	0.012564058415591717	0.007286543026566505	0.011978009715676308	0.011242612265050411	0.008410443551838398	0.010555642656981945	0.008213349618017673	NaN	0.007957625202834606	0.009495502337813377	0.00949876569211483	0.010867046192288399	0.008112900890409946	NaN	0.009544530883431435	0.0058225649408996105	0.012523206882178783	0.013488665223121643	0.01447171438485384	0.013369938358664513	0.009485075250267982	0.010494396090507507	0.011659675277769566	0.01183911319822073	0.009683447889983654	0.00639153691008687	0.010753831826150417	0.013023663312196732	NaN	0.012437023222446442	0.008638580329716206	0.007575614843517542	0.014381813816726208	0.013325998559594154	0.010690190829336643	0.011413722299039364	0.011275914497673512	0.014365649782121181	0.013663101941347122	0.010331474244594574	0.007942034862935543	0.007359818089753389	0.008893760852515697	0.012083516456186771
490.0	0.3246987760066986	0.3205469250679016	NaN	NaN	NaN	0.0147014781832695	0.014913233928382397	NaN	0.011557169258594513	0.013079453259706497	0.013700607232749462	0.012086058966815472	0.01109407190233469	0.012017049826681614	0.012940253131091595	0.013884349726140499	0.014266877435147762	0.011064586229622364	0.014228422194719315	0.012466918677091599	0.011759201996028423	0.014582889154553413	0.014188636094331741	NaN	0.012825004756450653	0.012420804239809513	0.013225127942860126	0.01336208451539278	0.011484839022159576	NaN	0.012476451694965363	0.010738234035670757	0.012938822619616985	0.014671447686851025	0.015061862766742706	0.014012583531439304	0.013259602710604668	0.014841798692941666	0.015238476917147636	0.015409264713525772	0.014762482605874538	0.012353748083114624	0.013898752629756927	0.015299655497074127	NaN	0.01515510305762291	0.012246626429259777	0.010924440808594227	0.014689108356833458	0.014842408709228039	0.014472038485109806	0.015032049268484116	0.015579300932586193	0.016140587627887726	0.014836068265140057	0.011747533455491066	0.011522550135850906	0.01174497976899147	0.011064020916819572	0.014987936243414879
510.0	0.4126720726490021	0.41427358984947205	NaN	NaN	NaN	0.020517054945230484	0.02092694491147995	NaN	0.01661091484129429	0.01811794750392437	0.01852537877857685	0.017128420993685722	0.015655726194381714	0.01633758284151554	0.01728356070816517	0.018251243978738785	0.018752865493297577	0.016712801530957222	0.018432866781949997	0.016533339396119118	0.017280930653214455	0.02073262259364128	0.019925210624933243	NaN	0.019078239798545837	0.017537197098135948	0.01830819621682167	0.018631258979439735	0.01649240218102932	NaN	0.01754847727715969	0.015955669805407524	0.01822992041707039	0.01878991350531578	0.019645392894744873	0.018248572945594788	0.01842074654996395	0.020575281232595444	0.020161079242825508	0.02100517600774765	0.020527860149741173	0.019292086362838745	0.01982804946601391	0.021636946126818657	NaN	0.020785842090845108	0.017547110095620155	0.016123604029417038	0.018968701362609863	0.01890864409506321	0.019263075664639473	0.01985762268304825	0.021141618490219116	0.02140270173549652	0.02031959965825081	0.016296017915010452	0.017622744664549828	0.017146507278084755	0.016169171780347824	0.020112279802560806
560.0	0.42875975370407104	0.4305267632007599	NaN	NaN	NaN	0.024463200941681862	0.024679703637957573	NaN	0.02000490017235279	0.02226920984685421	0.023502187803387642	0.021263672038912773	0.019893789663910866	0.02074236236512661	0.02201477624475956	0.023195797577500343	0.02380845695734024	0.0199897438287735	0.023485714569687843	0.020136406645178795	0.02155739814043045	0.02588288113474846	0.02512584626674652	NaN	0.023185234516859055	0.02155240997672081	0.023121781647205353	0.023549044504761696	0.020637910813093185	NaN	0.02158772200345993	0.0195273719727993	0.022324150428175926	0.023708421736955643	0.024682482704520226	0.02310718595981598	0.022480670362710953	0.02568648010492325	0.025596294552087784	0.02614564821124077	0.02600911632180214	0.023328633978962898	0.0242427047342062	0.026056984439492226	NaN	0.025694387033581734	0.021738873794674873	0.019549444317817688	0.024334440007805824	0.024412382394075394	0.023980000987648964	0.024829890578985214	0.02612919546663761	0.026253050193190575	0.025257596746087074	0.020069118589162827	0.02034330926835537	0.02094767615199089	0.019920092076063156	0.024866454303264618
620.0	0.4327668249607086	0.4327745735645294	NaN	NaN	NaN	0.03103088028728962	0.03181469812989235	NaN	0.024027977138757706	0.027311941608786583	0.030145594850182533	0.025530289858579636	0.0229058675467968	0.02527703531086445	0.027738116681575775	0.030097689479589462	0.030688263475894928	0.022384604439139366	0.031072506681084633	0.025752445682883263	0.024948591366410255	0.031980182975530624	0.030126752331852913	NaN	0.027384180575609207	0.026348382234573364	0.029094908386468887	0.029255378991365433	0.024333195760846138	NaN	0.025095870718359947	0.022761333733797073	0.02821027673780918	0.0336393304169178	0.03334503248333931	0.02964159846305847	0.028982115909457207	0.03322402760386467	0.03383784368634224	0.03453724831342697	0.033222537487745285	0.026966800913214684	0.02890629880130291	0.03241300582885742	NaN	0.032160401344299316	0.026244862005114555	0.022057661786675453	0.03403304144740105	0.03287490829825401	0.030819077044725418	0.03228439763188362	0.0349692739546299	0.03858908638358116	0.033043164759874344	0.024077488109469414	0.02384687028825283	0.025071268901228905	0.02299775555729866	0.03457747399806976
665.0	0.32634180784225464	0.31568649411201477	NaN	NaN	NaN	0.012711607851088047	0.012983962893486023	NaN	0.010277150198817253	0.011326129548251629	0.012824345380067825	0.011232838965952396	0.010619424283504486	0.010999005287885666	0.011662029661238194	0.012367326766252518	0.012437255121767521	0.010389087721705437	0.012755260802805424	0.010116242803633213	0.011529610492289066	0.01421397365629673	0.013044070452451706	NaN	0.012542461045086384	0.011256645433604717	0.012727812863886356	0.012770086526870728	0.010988342575728893	NaN	0.010708981193602085	0.010901723057031631	0.012371765449643135	0.013555562123656273	0.013314838521182537	0.01178890373557806	0.012312712147831917	0.014541496522724628	0.014144950546324253	0.014625429175794125	0.014897678047418594	0.013407894410192966	0.012419492937624454	0.013709538616240025	NaN	0.013042665086686611	0.011759034357964993	0.009841795079410076	0.014917094260454178	0.013306987471878529	0.012257064692676067	0.01322228740900755	0.014440658502280712	0.016434531658887863	0.01429834496229887	0.010415035299956799	0.010767146944999695	0.011299566365778446	0.010691246017813683	0.015100323595106602
674.0	0.2754322588443756	0.264523446559906	NaN	NaN	NaN	0.008548790588974953	0.008435670286417007	NaN	0.007190463598817587	0.0075149391777813435	0.008804782293736935	0.007791690994054079	0.006814052816480398	0.007207396440207958	0.007893865928053856	0.008316210471093655	0.008568324148654938	0.007045692764222622	0.00859056692570448	0.006864435039460659	0.00790770910680294	0.009704682976007462	0.008796142414212227	NaN	0.008643710054457188	0.007568964269012213	0.008488800376653671	0.008657793514430523	0.007687614299356937	NaN	0.007104970049113035	0.00708230584859848	0.008158178068697453	0.009209079667925835	0.009242987260222435	0.007692962419241667	0.008251242339611053	0.009972304105758667	0.009515560232102871	0.009972453117370605	0.010247626341879368	0.009107660502195358	0.008330157026648521	0.009091976098716259	NaN	0.00870621670037508	0.007855948992073536	0.006937019992619753	0.009538841433823109	0.00894333515316248	0.008122625760734081	0.008602806366980076	0.009789934381842613	0.010924831964075565	0.009278155863285065	0.006797835696488619	0.0073842997662723064	0.007524032145738602	0.007085403427481651	0.009774585254490376
681.0	0.2671872079372406	0.25701412558555603	NaN	NaN	NaN	0.00835961103439331	0.008733726106584072	NaN	0.0070889596827328205	0.0077270627953112125	0.00844503752887249	0.007405969314277172	0.007162746507674456	0.00725674070417881	0.007760838605463505	0.008334108628332615	0.00848720408976078	0.007085183169692755	0.008212380111217499	0.006518044508993626	0.007621398661285639	0.009509503841400146	0.00879663322120905	NaN	0.008454765193164349	0.0073659843765199184	0.008642966859042645	0.008523425087332726	0.007566680200397968	NaN	0.0070466045290231705	0.007345273625105619	0.008192774839699268	0.008656913414597511	0.008778070099651814	0.007441834546625614	0.007843255996704102	0.00977580901235342	0.008969374001026154	0.009566165506839752	0.010276718996465206	0.009143182076513767	0.008412560448050499	0.009142180904746056	NaN	0.008473075926303864	0.007734202779829502	0.006854672450572252	0.009498083963990211	0.00835404172539711	0.00796712189912796	0.008612679317593575	0.009698266163468361	0.010819608345627785	0.009261857718229294	0.006816515699028969	0.0073740556836128235	0.007763102650642395	0.007091572508215904	0.009832133539021015
